"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Savannah State University","Savannah","GA",77.63,847,425,420,18,4659,15929,5556,15561,0.28,0.28,"Low","South","Large"
"Shorter University","Rome","GA",69.22,951,480,473,20,1449,32664,20250,20250,0.45,0.4,"Low","South","Small"
"Spelman College","Atlanta","GA",54,1005,510,490,22,2135,42739,25496,25496,0.74,0.75,"High","South","Medium"
"Southern Polytechnic State University","Marietta","GA",79.06,1134,560,580,25,5890,17894,5839,17144,0.35,0.24,"Low","South","Large"
"Toccoa Falls College","Toccoa Falls","GA",37.05,970,490,470,21,807,31415,19700,19700,0.52,0.55,"Medium","South","Very Small"
"Truett McConnell University","Cleveland","GA",96.33,971,492,480,21,729,27467,17400,17400,0.22,0.38,"Low","South","Very Small"
"Valdosta State University","Valdosta","GA",54.14,1018,515,500,22,9235,19838,6142,16459,0.39,0.37,"Low","South","Very Large"
"University of West Georgia","Carrollton","GA",48.61,950,480,470,20,9982,20310,5938,16258,0.41,0.4,"Low","South","Very Large"
"Chaminade University of Honolulu","Honolulu","HI",85.62,958,470,480,21,2017,31860,20940,20940,0.49,0.54,"Medium","West","Medium"
"University of Hawaii at Hilo","Hilo","HI",71.34,936,465,475,20,3295,16372,7036,19036,0.38,0.41,"Medium","West","Large"
"University of Hawaii at Manoa","Honolulu","HI",78.82,1070,530,555,23,13667,19106,10620,29412,0.56,0.6,"Medium","West","Very Large"
"Boise Bible College","Boise","ID",92.75,996,520,480,21,172,24678,11665,11665,0.42,0.49,"Medium","West","Very Small"
"Boise State University","Boise","ID",77,1042,510,515,23,16206,18651,6641,19493,0.36,0.44,"Medium","West","Very Large"
"University of Idaho","Moscow","ID",67.48,1057,515,525,24,8162,19381,6784,20314,0.58,0.55,"Medium","West","Large"
"The College of Idaho","Caldwell","ID",92.9,1076,525,530,24,1113,35456,24955,24955,0.6,0.24,"Low","West","Small"
"Lewis-Clark State College","Lewiston","ID",99.04,923,460,460,20,3168,16517,8624,19142,0.27,0.28,"Low","West","Large"
"Northwest Nazarene University","Nampa","ID",65.07,1052,525,515,23,1300,35655,27340,27340,0.52,0.56,"Medium","West","Small"
"Brigham Young University-Idaho","Rexburg","ID",99.62,1041,515,505,23,23865,11139,3950,3950,0.56,0.6,"Medium","West","Very Large"
"Aurora University","Aurora","IL",81.1,1010,495,510,22,3199,31767,21320,21320,0.58,0.53,"Medium","North Central","Large"
"Blackburn College","Carlinville","IL",65.1,989,473,488,21,578,25292,19560,19560,0.39,0.48,"Medium","North Central","Very Small"
"Bradley University","Peoria","IL",64.3,1162,550,585,26,4585,42090,30844,30844,0.74,0.73,"High","North Central","Large"
"University of Chicago","Chicago","IL",8.76,1505,760,758,34,5729,64988,49380,49380,0.93,0.93,"High","North Central","Large"
"Concordia University-Chicago","River Forest","IL",53.85,1031,520,520,22,1491,36468,28718,28718,0.58,0.48,"Medium","North Central","Small"
"Elmhurst University","Elmhurst","IL",67.71,1089,530,540,24,2773,44143,33950,33950,0.74,0.64,"High","North Central","Medium"
"Eureka College","Eureka","IL",64.48,1053,570,585,23,652,28945,20060,20060,0.53,0.44,"Medium","North Central","Very Small"
"Greenville University","Greenville","IL",55.68,1056,489,495,23,1055,34512,24360,24360,0.48,0.42,"Medium","North Central","Small"
"Hebrew Theological College","Skokie","IL",92.84,1030,530,500,22,404,34558,19190,19190,0.06,0.07,"Low","North Central","Very Small"
"University of Illinois Chicago","Chicago","IL",74.48,1125,525,595,25,16635,25146,13634,26024,0.6,0.57,"Medium","North Central","Very Large"
"University of Illinois Urbana-Champaign","Champaign","IL",59.04,1326,640,745,29,31875,29086,15020,29646,0.84,0.85,"High","North Central","Very Large"
"Illinois Wesleyan University","Bloomington","IL",60.43,1249,555,710,28,1883,50324,40844,40844,0.81,0.78,"High","North Central","Medium"
"Illinois Institute of Technology","Chicago","IL",50.6,1266,580,690,28,3046,51572,41645,41645,0.65,0.72,"High","North Central","Large"
"Judson University","Elgin","IL",73.12,1080,555,580,23,1051,39014,27530,27530,0.5,0.54,"Medium","North Central","Small"
"Lewis University","Romeoville","IL",61.91,1070,535,530,23,4605,34901,27830,27830,0.62,0.67,"High","North Central","Large"
"Lincoln Christian University","Lincoln","IL",47.58,1006,495,490,22,553,26434,16050,16050,0.57,0.67,"High","North Central","Very Small"
"Loyola University Chicago","Chicago","IL",63.34,1212,575,580,27,10042,48958,37412,37412,0.73,0.77,"High","North Central","Very Large"
"McKendree University","Lebanon","IL",61.15,1048,510,520,23,2452,37845,26900,26900,0.56,0.51,"Medium","North Central","Medium"
"Millikin University","Decatur","IL",62.73,1046,500,500,23,2082,39472,29620,29620,0.61,0.61,"High","North Central","Medium"
"Monmouth College","Monmouth","IL",69.06,1033,525,570,22,1281,42027,33200,33200,0.56,0.6,"Medium","North Central","Small"
"North Park University","Chicago","IL",54.61,1025,500,499,22,2181,31964,24600,24600,0.53,0.59,"Medium","North Central","Medium"
"Northern Illinois University","Dekalb","IL",50.89,1030,500,530,22,15391,27959,13505,22784,0.5,0.24,"Low","North Central","Very Large"
"Northwestern University","Evanston","IL",13.11,1461,730,745,33,8725,63028,47251,47251,0.93,0.94,"High","North Central","Large"
"Northeastern Illinois University","Chicago","IL",57.61,890,475,435,19,8284,23095,8868,16164,0.22,0.23,"Low","North Central","Large"
"Quincy University","Quincy","IL",88.93,1024,475,450,22,1075,36972,26572,26572,0.49,0.46,"Medium","North Central","Small"
"Rockford University","Rockford","IL",54.8,1009,495,490,22,1017,37127,27530,27530,0.45,0.41,"Medium","North Central","Small"
"Roosevelt University","Chicago","IL",77.64,1050,540,510,23,3727,42022,26900,26900,0.3,0.4,"Low","North Central","Large"
"Dominican University","River Forest","IL",60.67,1029,440,505,22,2149,36761,29770,29770,0.63,0.62,"High","North Central","Medium"
"University of St Francis","Joliet","IL",50.56,1064,490,495,23,1732,36919,28790,28790,0.56,0.63,"High","North Central","Small"
"Saint Xavier University","Chicago","IL",49.64,1008,474,449,22,2940,36152,30100,30100,0.54,0.52,"Medium","North Central","Medium"
"University of Illinois Springfield","Springfield","IL",61.58,1081,455,545,24,2969,21630,11367,20517,0.49,0.5,"Medium","North Central","Medium"
"Southern Illinois University-Carbondale","Carbondale","IL",81.53,1055,553,565,23,13171,25105,12248,24871,0.44,0.4,"Low","North Central","Very Large"
"Southern Illinois University-Edwardsville","Edwardsville","IL",86.96,1070,520,525,23,11371,22219,9738,20682,0.5,0.49,"Medium","North Central","Very Large"
"Trinity Christian College","Palos Heights","IL",90.22,1080,505,540,24,1237,35139,25515,25515,0.58,0.69,"High","North Central","Small"
"Trinity International University-Illinois","Deerfield","IL",100,1062,530,500,23,857,39292,27360,27360,0.46,0.52,"Medium","North Central","Very Small"
"VanderCook College of Music","Chicago","IL",76.09,1109,555,580,24,108,35742,25690,25690,0.8,0.24,"Low","North Central","Very Small"
"Wheaton College","Wheaton","IL",69.15,1311,655,645,30,2402,42390,31900,31900,0.89,0.89,"High","North Central","Medium"
"Anderson University","Anderson","IN",54.91,1048,515,515,23,1831,38820,26850,26850,0.63,0.57,"Medium","North Central","Medium"
"Ball State University","Muncie","IN",59.88,1066,550,545,22,15895,21807,9344,24610,0.59,0.62,"High","North Central","Very Large"
"Bethel University","Mishawaka","IN",70.53,1040,505,525,23,1520,34378,25830,25830,0.7,0.64,"High","North Central","Small"
"Butler University","Indianapolis","IN",68.46,1205,580,590,27,4013,48784,35652,35652,0.78,0.79,"High","North Central","Large"
"DePauw University","Greencastle","IN",56.6,1213,585,610,27,2185,53410,42746,42746,0.8,0.81,"High","North Central","Medium"
"University of Evansville","Evansville","IN",82.95,1144,560,565,26,2266,43495,31776,31776,0.64,0.72,"High","North Central","Medium"
"Franklin College","Franklin","IN",69.22,1031,505,515,23,1022,39697,28185,28185,0.61,0.62,"High","North Central","Small"
"Goshen College","Goshen","IN",54,1109,548,553,25,746,38153,29700,29700,0.72,0.72,"High","North Central","Very Small"
"Grace College and Theological Seminary","Winona Lake","IN",80.12,1110,555,560,24,1478,33215,24670,24670,0.65,0.62,"High","North Central","Small"
"Hanover College","Hanover","IN",64.47,1101,530,525,26,1136,43582,33023,33023,0.69,0.71,"High","North Central","Small"
"Holy Cross College","Notre Dame","IN",93.16,969,485,465,21,512,35688,27150,27150,0.32,0.4,"Low","North Central","Very Small"
"Huntington University","Huntington","IN",97.11,1034,499,505,23,1001,35059,24771,24771,0.59,0.6,"Medium","North Central","Small"
"Purdue University Fort Wayne","Fort Wayne","IN",90.87,1002,495,495,22,9314,18755,7949,19092,0.26,0.32,"Low","North Central","Very Large"
"Indiana University-Purdue University-Indianapolis","Indianapolis","IN",70.49,1010,495,505,22,21777,19875,8909,30089,0.43,0.45,"Medium","North Central","Very Large"
"University of Indianapolis","Indianapolis","IN",66.48,1018,500,510,22,4136,37238,25414,25414,0.52,0.56,"Medium","North Central","Large"
"Indiana Institute of Technology","Fort Wayne","IN",70.57,965,460,480,21,6397,36187,24860,24860,0.31,0.34,"Low","North Central","Large"
"University of Southern Indiana","Evansville","IN",71.34,1001,495,500,22,8233,18469,6957,16297,0.41,0.41,"Medium","North Central","Large"
"Indiana State University","Terre Haute","IN",82.54,913,460,455,19,10497,19897,8416,18346,0.4,0.39,"Low","North Central","Very Large"
"Indiana University-Kokomo","Kokomo","IN",67.26,934,465,470,20,2724,15652,6811,18081,0.28,0.39,"Low","North Central","Medium"
"Indiana University-South Bend","South Bend","IN",73.33,942,470,470,20,5398,16178,6905,18081,0.26,0.29,"Low","North Central","Large"
"Indiana University-Bloomington","Bloomington","IN",76.09,1198,575,600,27,32252,23716,10388,33241,0.78,0.77,"High","North Central","Very Large"
"Indiana University-Northwest","Gary","IN",76.78,916,450,455,20,4370,14067,6854,18081,0.28,0.28,"Low","North Central","Large"
"Indiana University-Southeast","New Albany","IN",80.32,959,480,470,21,5476,16428,6827,18081,0.32,0.32,"Low","North Central","Large"
"Indiana University-East","Richmond","IN",63.76,943,460,470,21,3200,15743,6787,18081,0.27,0.36,"Low","North Central","Large"
"Manchester University","North Manchester","IN",74.28,1000,490,505,22,1254,39325,29040,29040,0.55,0.24,"Low","North Central","Small"
"Marian University","Indianapolis","IN",56.44,1036,505,505,23,1999,39937,29400,29400,0.54,0.52,"Medium","North Central","Medium"
"Indiana Wesleyan University-Marion","Marion","IN",95.05,1081,530,525,24,10218,34433,24102,24102,0.63,0.63,"High","North Central","Very Large"
"University of Notre Dame","Notre Dame","IN",21.14,1450,705,725,33,8427,60117,46237,46237,0.96,0.95,"High","North Central","Large"
"Oakland City University","Oakland City","IN",55.04,960,475,475,21,616,35500,19800,19800,0.6,0.53,"Medium","North Central","Very Small"
"Purdue University-North Central Campus","Westville","IN",72.51,959,480,475,21,3231,14334,7329,17447,0.24,0.24,"Low","North Central","Large"
"Rose-Hulman Institute of Technology","Terre Haute","IN",58.79,1308,605,690,30,2208,57138,43683,43683,0.78,0.81,"High","North Central","Medium"
"University of Saint Francis-Fort Wayne","Fort Wayne","IN",96.86,981,480,485,22,1796,32377,25930,25930,0.5,0.58,"Medium","North Central","Small"
"Saint Josephs College","Rensselaer","IN",66.41,996,500,502,21,1074,37735,27890,27890,0.46,0.24,"Low","North Central","Small"
"Saint Mary-of-the-Woods College","Saint Mary of the Woods","IN",69.37,943,485,455,20,678,41669,28351,28351,0.45,0.57,"Medium","North Central","Very Small"
"Saint Mary's College","Notre Dame","IN",83.34,1144,560,550,26,1508,47660,35970,35970,0.81,0.79,"High","North Central","Small"
"Taylor University","Upland","IN",88.03,1184,560,565,27,1855,39699,29538,29538,0.74,0.79,"High","North Central","Medium"
"Trine University","Angola","IN",75.99,1078,508,545,24,1654,42733,29600,29600,0.54,0.55,"Medium","North Central","Small"
"Valparaiso University","Valparaiso","IN",82.36,1155,550,560,26,3210,44674,34760,34760,0.67,0.72,"High","North Central","Large"
"Wabash College","Crawfordsville","IN",69.98,1128,550,580,25,923,46660,37750,37750,0.73,0.77,"High","North Central","Very Small"
"Briar Cliff University","Sioux City","IA",61.69,1005,475,510,22,964,38198,27202,27202,0.47,0.24,"Low","North Central","Very Small"
"Buena Vista University","Storm Lake","IA",67.89,1047,435,478,23,1892,40430,30406,30406,0.46,0.6,"Medium","North Central","Medium"
"Central College","Pella","IA",68.9,1101,500,505,24,1333,45151,32124,32124,0.68,0.69,"High","North Central","Small"
"Clarke University","Dubuque","IA",70.49,1029,489,509,22,933,39916,28900,28900,0.74,0.63,"High","North Central","Very Small"
"Coe College","Cedar Rapids","IA",55.3,1146,573,580,25,1363,47060,37320,37320,0.7,0.69,"High","North Central","Small"
"Cornell College","Mount Vernon","IA",73.63,1200,600,585,27,1082,48905,37500,37500,0.66,0.71,"High","North Central","Small"
"Dordt University","Sioux Center","IA",72.99,1100,535,545,24,1343,38709,27460,27460,0.66,0.65,"High","North Central","Small"
"Drake University","Des Moines","IA",69.26,1239,585,600,28,3290,44261,32246,32246,0.78,0.79,"High","North Central","Large"
"University of Dubuque","Dubuque","IA",77.88,941,440,440,20,1764,35300,26950,26950,0.48,0.43,"Medium","North Central","Small"
"Faith Baptist Bible College and Theological Seminary","Ankeny","IA",67.33,1004,480,475,22,232,25899,16086,16086,0.64,0.54,"Medium","North Central","Very Small"
"Graceland University-Lamoni","Lamoni","IA",49.84,938,425,435,21,1415,35380,24920,24920,0.54,0.5,"Medium","North Central","Small"
"Grand View University","Des Moines","IA",98.7,967,450,485,21,1977,32667,23426,23426,0.47,0.5,"Medium","North Central","Medium"
"Grinnell College","Grinnell","IA",28.01,1398,685,710,32,1670,56354,45620,45620,0.89,0.87,"High","North Central","Small"
"Iowa State University","Ames","IA",86.91,1145,545,605,25,28336,18828,7731,20617,0.69,0.73,"High","North Central","Very Large"
"University of Iowa","Iowa City","IA",80.95,1164,540,620,26,21486,20691,8079,27409,0.7,0.74,"High","North Central","Very Large"
"Loras College","Dubuque","IA",95.13,1088,482,517,24,1468,38758,29700,29700,0.64,0.68,"High","North Central","Small"
"Luther College","Decorah","IA",71.16,1157,522,575,26,2326,48419,38370,38370,0.82,0.8,"High","North Central","Medium"
"Morningside College","Sioux City","IA",56.82,1065,475,525,23,1293,37944,27180,27180,0.54,0.24,"Low","North Central","Small"
"University of Northern Iowa","Cedar Falls","IA",76.91,1050,535,540,23,9882,18618,7749,17647,0.64,0.68,"High","North Central","Very Large"
"Northwestern College","Orange City","IA",77.83,1103,528,565,24,1113,39236,27860,27860,0.63,0.68,"High","North Central","Small"
"Waldorf University","Forest City","IA",68.85,913,455,470,19,1356,31369,20316,20316,0.33,0.29,"Low","North Central","Small"
"Wartburg College","Waverly","IA",78.83,1100,490,555,24,1614,45305,36120,36120,0.71,0.65,"High","North Central","Small"
"Baker University","Baldwin City","KS",69.53,1059,478,505,23,1649,39122,26370,26370,0.58,0.57,"Medium","North Central","Small"
"Benedictine College","Atchison","KS",97.78,1120,565,530,25,1836,37663,25100,25100,0.6,0.24,"Low","North Central","Medium"
"Bethany College","Lindsborg","KS",97.45,969,435,470,21,637,35133,24390,24390,0.37,0.47,"Medium","North Central","Very Small"
"Bethel College-North Newton","North Newton","KS",49.1,1000,408,450,22,483,35106,24200,24200,0.58,0.24,"Low","North Central","Very Small"
"Central Christian College of Kansas","McPherson","KS",49.63,966,445,445,21,985,24696,16204,16204,0.39,0.22,"Low","North Central","Very Small"
"Emporia State University","Emporia","KS",76.49,1009,448,508,22,3777,16205,5746,17896,0.39,0.24,"Low","North Central","Large"
"Friends University","Wichita","KS",61.38,1029,505,520,22,1339,31952,24630,24630,0.34,0.34,"Low","North Central","Small"
"Newman University","Wichita","KS",52.81,1076,500,490,24,1182,31874,24800,24800,0.48,0.52,"Medium","North Central","Small"
"Kansas Wesleyan University","Salina","KS",61.47,1059,490,520,23,643,36002,25200,25200,0.33,0.32,"Low","North Central","Very Small"
"McPherson College","McPherson","KS",99.28,1005,475,510,22,619,35312,24035,24035,0.48,0.36,"Low","North Central","Very Small"
"MidAmerica Nazarene University","Olathe","KS",68.99,1010,435,430,22,1322,33252,24250,24250,0.5,0.51,"Medium","North Central","Small"
"University of Saint Mary","Leavenworth","KS",47.5,1002,480,473,22,819,33706,24450,24450,0.35,0.44,"Medium","North Central","Very Small"
"Southwestern College","Winfield","KS",87.93,1007,435,470,22,1288,37517,24835,24835,0.54,0.41,"Medium","North Central","Small"
"Sterling College","Sterling","KS",44.37,978,465,465,21,701,30471,21950,21950,0.39,0.39,"Low","North Central","Very Small"
"Tabor College","Hillsboro","KS",85.68,1037,485,500,23,708,36750,23900,23900,0.48,0.38,"Low","North Central","Very Small"
"Alice Lloyd College","Pippa Passes","KY",36.17,1008,455,485,22,657,21391,10980,10980,0.51,0.55,"Medium","South","Very Small"
"Asbury University","Wilmore","KY",68.7,1135,559,551,25,1499,34962,26868,26868,0.68,0.69,"High","South","Small"
"Bellarmine University","Louisville","KY",83.4,1120,550,545,25,2499,49508,36290,36290,0.68,0.65,"High","South","Medium"
"Berea College","Berea","KY",33.66,1125,552,572,25,1577,31870,24270,24270,0.62,0.66,"High","South","Small"
"Brescia University","Owensboro","KY",49.27,1039,460,490,23,1003,27812,19990,19990,0.26,0.24,"Low","South","Small"
"Campbellsville University","Campbellsville","KY",72.72,964,455,454,21,2119,32456,22842,22842,0.39,0.34,"Low","South","Medium"
"Centre College","Danville","KY",71.57,1263,605,620,29,1379,47897,37100,37100,0.82,0.82,"High","South","Small"
"University of the Cumberlands","Williamsburg","KY",66.28,1038,480,495,23,1844,33107,20000,20000,0.36,0.41,"Medium","South","Medium"
"Eastern Kentucky University","Richmond","KY",73.87,1008,490,490,22,13323,18181,7920,17448,0.42,0.44,"Medium","South","Very Large"
"Georgetown College","Georgetown","KY",88.75,1102,508,530,24,972,43776,32960,32960,0.55,0.24,"Low","South","Very Small"
"Kentucky State University","Frankfort","KY",47.69,883,420,410,19,1627,17231,7404,17214,0.2,0.2,"Low","South","Small"
"Kentucky Wesleyan College","Owensboro","KY",60.72,1021,469,493,22,691,31040,22230,22230,0.41,0.32,"Low","South","Very Small"
"University of Kentucky","Lexington","KY",72.21,1142,555,575,25,21725,23162,10616,22888,0.61,0.65,"High","South","Very Large"
"Kentucky Christian University","Grayson","KY",47.74,966,485,460,21,547,29825,16830,16830,0.34,0.33,"Low","South","Very Small"
"University of Louisville","Louisville","KY",73.86,1144,560,570,25,15038,22389,10432,24320,0.54,0.54,"Medium","South","Very Large"
"Morehead State University","Morehead","KY",84.43,1029,493,505,22,7212,18191,7866,19666,0.43,0.42,"Medium","South","Large"
"Murray State University","Murray","KY",79.96,1064,490,510,23,8126,16825,7392,20112,0.52,0.49,"Medium","South","Large"
"Northern Kentucky University","Highland Heights","KY",90.72,1046,505,505,23,11654,15159,8856,17328,0.36,0.4,"Low","South","Very Large"
"University of Pikeville","Pikeville","KY",100,966,430,455,21,1329,32707,18290,18290,0.4,0.3,"Low","South","Small"
"Spalding University","Louisville","KY",45.71,967,490,440,21,1227,32509,22950,22950,0.38,0.45,"Medium","South","Small"
"Thomas More University","Crestview Hills","KY",93.28,982,465,475,21,1243,37459,28743,28743,0.46,0.45,"Medium","South","Small"
"Transylvania University","Lexington","KY",82.62,1230,575,595,28,1014,43304,33360,33360,0.7,0.24,"Low","South","Small"
"Western Kentucky University","Bowling Green","KY",93.32,1047,500,505,23,15388,17493,9140,23352,0.44,0.43,"Medium","South","Very Large"
"Centenary College of Louisiana","Shreveport","LA",65.67,1109,530,520,25,548,44596,33500,33500,0.52,0.48,"Medium","South","Very Small"
"Dillard University","New Orleans","LA",40.59,886,440,430,19,1200,26606,16252,16252,0.36,0.4,"Low","South","Small"
"Grambling State University","Grambling","LA",43.95,868,420,440,18,3520,21692,6525,15744,0.3,0.24,"Low","South","Large"
"Louisiana State University-Alexandria","Alexandria","LA",54.55,987,455,485,21,2244,15182,6009,12868,0.21,0.26,"Low","South","Medium"
"Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",76.63,1161,550,570,26,24452,21846,8750,26467,0.67,0.67,"High","South","Very Large"
"Louisiana Tech University","Ruston","LA",65.03,1104,520,550,24,7272,17862,8052,22635,0.52,0.53,"Medium","South","Large"
"Loyola University New Orleans","New Orleans","LA",90.25,1135,575,545,25,2734,49791,36630,36630,0.62,0.56,"Medium","South","Medium"
"McNeese State University","Lake Charles","LA",75.27,1030,495,540,22,6597,15951,6334,17404,0.41,0.42,"Medium","South","Large"
"University of New Orleans","New Orleans","LA",43.57,1082,565,585,23,6742,16889,7392,21002,0.34,0.32,"Low","South","Large"
"Nicholls State University","Thibodaux","LA",88.37,1031,500,555,22,5513,16954,7234,17481,0.4,0.47,"Medium","South","Large"
"Northwestern State University of Louisiana","Natchitoches","LA",72.98,1027,490,500,22,6828,17659,6863,17651,0.38,0.39,"Low","South","Large"
"Southern University at New Orleans","New Orleans","LA",20.7,806,445,390,17,1658,10300,5218,6517,0.12,0.24,"Low","South","Small"
"University of Louisiana at Lafayette","Lafayette","LA",55.8,1070,530,540,23,14667,16112,6872,19272,0.48,0.44,"Medium","South","Very Large"
"Tulane University of Louisiana","New Orleans","LA",27.95,1342,660,660,31,7892,61055,48305,48305,0.83,0.83,"High","South","Large"
"Xavier University of Louisiana","New Orleans","LA",65.99,1039,500,505,23,2313,29988,21552,21552,0.44,0.44,"Medium","South","Medium"
"Colby College","Waterville","ME",28.05,1333,660,670,30,1847,59110,47350,47350,0.9,0.92,"High","Northeast","Medium"
"Husson University","Bangor","ME",71.95,951,475,480,19,2292,25620,16097,16097,0.42,0.55,"Medium","Northeast","Medium"
"University of Maine at Fort Kent","Fort Kent","ME",74.61,899,450,450,18,956,17932,7575,10875,0.5,0.35,"Low","Northeast","Very Small"
"University of Maine","Orono","ME",82.57,1078,535,540,24,8682,22193,10606,28486,0.6,0.58,"Medium","Northeast","Large"
"Maine Maritime Academy","Castine","ME",78.63,1024,500,525,22,1031,23940,12400,24040,0.7,0.69,"High","Northeast","Small"
"University of New England","Biddeford","ME",85.68,1073,530,535,24,2217,49671,34080,34080,0.57,0.59,"Medium","Northeast","Medium"
"University of Southern Maine","Portland","ME",83.95,998,500,495,22,5783,22083,7796,18508,0.32,0.33,"Low","Northeast","Large"
"Bowie State University","Bowie","MD",55.06,867,445,430,17,4401,19456,7299,17875,0.33,0.4,"Low","South","Large"
"Capitol Technology University","Laurel","MD",70.5,1075,530,570,21,406,31864,22896,22896,0.41,0.52,"Medium","South","Very Small"
"Washington Adventist University","Takoma Park","MD",44.92,854,420,420,20,790,29547,21395,21395,0.4,0.37,"Low","South","Very Small"
"Frostburg State University","Frostburg","MD",58.51,967,490,485,20,4765,20046,7982,19274,0.49,0.49,"Medium","South","Large"
"Johns Hopkins University","Baltimore","MD",16.08,1439,705,730,33,6039,61481,47060,47060,0.93,0.93,"High","South","Large"
"University of Maryland-Baltimore County","Baltimore","MD",59.61,1213,590,620,27,11274,21941,10384,22682,0.61,0.63,"High","South","Very Large"
"University of Maryland Eastern Shore","Princess Anne","MD",61.27,842,430,415,17,3441,21472,7287,16311,0.37,0.38,"Low","South","Large"
"Morgan State University","Baltimore","MD",65.25,874,440,440,18,6239,21666,7378,16862,0.32,0.38,"Low","South","Large"
"Mount St. Mary's University","Emmitsburg","MD",66.87,1048,530,520,22,1806,48273,36021,36021,0.64,0.63,"High","South","Medium"
"Notre Dame of Maryland University","Baltimore","MD",49.46,1048,520,515,25,1153,42859,33010,33010,0.58,0.43,"Medium","South","Small"
"St. Mary's College of Maryland","St. Mary's City","MD",78.87,1188,612,582,26,1668,29172,13824,28674,0.81,0.78,"High","South","Small"
"St. John's College","Annapolis","MD",86.96,1323,700,625,30,429,58321,47726,47726,0.72,0.67,"High","South","Very Small"
"Towson University","Towson","MD",59.21,1082,540,545,23,18546,21973,8590,20268,0.68,0.72,"High","South","Very Large"
"Stevenson University","Stevenson","MD",62.31,990,495,500,21,3778,41569,28980,28980,0.63,0.54,"Medium","South","Large"
"McDaniel College","Westminster","MD",76.13,1094,545,545,24,1649,47966,38350,38350,0.68,0.68,"High","South","Small"
"American International College","Springfield","MA",67.57,887,438,443,20,1473,42762,30940,30940,0.38,0.41,"Medium","Northeast","Small"
"Amherst College","Amherst","MA",13.84,1439,724,725,32,1792,61544,48526,48526,0.94,0.95,"High","Northeast","Small"
"Babson College","Wellesley","MA",26.31,1272,615,660,28,2107,60494,45120,45120,0.9,0.92,"High","Northeast","Medium"
"Bay Path University","Longmeadow","MA",63.05,951,482,470,20,1574,41344,30859,30859,0.63,0.57,"Medium","Northeast","Small"
"Becker College","Worcester","MA",62.47,1015,505,500,23,1975,45609,32870,32870,0.31,0.38,"Low","Northeast","Medium"
"Bentley University","Waltham","MA",46.11,1247,590,650,28,4190,56768,42511,42511,0.88,0.91,"High","Northeast","Large"
"Boston College","Chestnut Hill","MA",33.91,1380,675,690,32,9483,60690,47436,47436,0.91,0.92,"High","Northeast","Very Large"
"Boston University","Boston","MA",34.51,1300,625,675,29,16457,61396,46664,46664,0.85,0.87,"High","Northeast","Very Large"
"Brandeis University","Waltham","MA",35.22,1369,650,715,31,3715,61023,47558,47558,0.91,0.9,"High","Northeast","Large"
"Bridgewater State University","Bridgewater","MA",79.31,991,490,500,22,9500,19877,8353,14493,0.59,0.59,"Medium","Northeast","Very Large"
"Curry College","Milton","MA",86.88,948,475,475,20,2843,48778,35725,35725,0.45,0.52,"Medium","Northeast","Medium"
"Eastern Nazarene College","Quincy","MA",52.87,918,465,460,19,1054,37563,29012,29012,0.47,0.49,"Medium","Northeast","Small"
"Emerson College","Boston","MA",49.18,1244,630,605,28,3757,53499,37350,37350,0.8,0.81,"High","Northeast","Large"
"Emmanuel College","Boston","MA",69.3,1093,550,540,24,1967,51082,35532,35532,0.64,0.66,"High","Northeast","Medium"
"Fitchburg State University","Fitchburg","MA",72.31,1004,495,510,21,4134,17894,9260,15340,0.57,0.6,"Medium","Northeast","Large"
"Framingham State University","Framingham","MA",62.26,1011,505,505,22,4329,22097,8320,14400,0.51,0.54,"Medium","Northeast","Large"
"Gordon College","Wenham","MA",88.37,1161,580,575,26,1703,44699,34390,34390,0.72,0.7,"High","Northeast","Small"
"Harvard University","Cambridge","MA",5.96,1501,750,755,34,7236,59950,43938,43938,0.98,0.96,"High","Northeast","Large"
"Lasell University","Newton","MA",76.32,974,485,490,21,1727,44737,31000,31000,0.57,0.54,"Medium","Northeast","Small"
"Lesley University","Cambridge","MA",71.49,1086,560,525,24,1727,48818,24375,24375,0.58,0.6,"Medium","Northeast","Small"
"University of Massachusetts-Lowell","Lowell","MA",62.01,1145,555,590,25,12190,23628,12447,27400,0.54,0.6,"Medium","Northeast","Very Large"
"University of Massachusetts-Amherst","Amherst","MA",61.39,1217,595,620,27,21864,26207,13443,28998,0.75,0.77,"High","Northeast","Very Large"
"MCPHS University","Boston","MA",84.01,1074,520,560,23,3944,44449,30400,30400,0.71,0.74,"High","Northeast","Large"
"Massachusetts College of Art and Design","Boston","MA",72.94,1077,550,520,25,1781,25838,11225,29925,0.7,0.24,"Low","Northeast","Small"
"Massachusetts Institute of Technology","Cambridge","MA",7.88,1500,725,770,34,4476,59020,45016,45016,0.91,0.94,"High","Northeast","Large"
"Massachusetts Maritime Academy","Buzzards Bay","MA",61.6,1105,520,590,23,1395,22073,7250,22304,0.7,0.75,"High","Northeast","Small"
"Mount Ida College","Newton","MA",68.49,886,445,440,19,1290,44219,30447,30447,0.41,0.24,"Low","Northeast","Small"
