"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Year"
"Normal","The Art Institute of Atlanta",22,2584,"2014_15"
"Normal","Point University",37,1399,"2014_15"
"Normal","Clark Atlanta University",41,2567,"2014_15"
"Normal","Berry College",62,2065,"2014_15"
"Normal","Beulah Heights University",21,451,"2014_15"
"Normal","Brenau University",47,1581,"2014_15"
"Normal","Brewton-Parker College",18,472,"2014_15"
"Normal","Carver Bible College",6,88,"2014_15"
"Normal","Clayton  State University",33,6064,"2014_15"
"Normal","Columbus State University",32,6715,"2014_15"
"Normal","Covenant College",57,1066,"2014_15"
"Normal","Emmanuel College",45,727,"2014_15"
"Normal","Emory University",89,7730,"2014_15"
"Normal","Fort Valley State University",32,2172,"2014_15"
"Single","Georgia Institute of Technology-Main Campus",82,13996,"2014_15"
"Normal","Georgia Southwestern State University",32,2415,"2014_15"
"Normal","Georgia College & State University",61,5827,"2014_15"
"Normal","Georgia Southern University",51,17232,"2014_15"
"Normal","Georgia State University",53,24619,"2014_15"
"Normal","University of Georgia",85,26738,"2014_15"
"Normal","Kennesaw State University",43,23058,"2014_15"
"Normal","LaGrange College",53,874,"2014_15"
"Normal","Life University",28,774,"2014_15"
"Normal","Herzing University-Atlanta",21,341,"2014_15"
"Normal","Mercer University",63,4418,"2014_15"
"Normal","Morehouse College",53,2106,"2014_15"
"Normal","Oglethorpe University",51,1064,"2014_15"
"Normal","Paine College",18,841,"2014_15"
"Normal","Piedmont University",50,1286,"2014_15"
"Normal","Reinhardt University",38,1317,"2014_15"
"Normal","Savannah College of Art and Design",65,8846,"2014_15"
"Normal","Savannah State University",28,4659,"2014_15"
"Normal","Shorter University",45,1449,"2014_15"
"Normal","Spelman College",74,2135,"2014_15"
"Normal","Southern Polytechnic State University",35,5890,"2014_15"
"Normal","Thomas University",19,800,"2014_15"
"Normal","Toccoa Falls College",52,807,"2014_15"
"Normal","Truett McConnell University",22,729,"2014_15"
"Normal","Valdosta State University",39,9235,"2014_15"
"Normal","Wesleyan College",48,553,"2014_15"
"Normal","University of West Georgia",41,9982,"2014_15"
"Normal","Young Harris College",46,1180,"2014_15"
"Normal","Chaminade University of Honolulu",49,2017,"2014_15"
"Normal","University of Hawaii at Hilo",38,3295,"2014_15"
"Normal","University of Hawaii at Manoa",56,13667,"2014_15"
"Normal","Hawaii Pacific University",42,4741,"2014_15"
"Normal","University of Hawaii-West Oahu",40,2424,"2014_15"
"Normal","Boise Bible College",42,172,"2014_15"
"Normal","Boise State University",36,16206,"2014_15"
"Normal","Idaho State University",33,9370,"2014_15"
"Normal","University of Idaho",58,8162,"2014_15"
"Normal","The College of Idaho",60,1113,"2014_15"
"Normal","Lewis-Clark State College",27,3168,"2014_15"
"Normal","Northwest Nazarene University",52,1300,"2014_15"
"Normal","Brigham Young University-Idaho",56,23865,"2014_15"
"Normal","American Academy of Art",51,365,"2014_15"
"Normal","School of the Art Institute of Chicago",57,2783,"2014_15"
"Normal","Augustana College",74,2469,"2014_15"
"Normal","Aurora University",58,3199,"2014_15"
"Normal","Blackburn College",39,578,"2014_15"
"Normal","Bradley University",74,4585,"2014_15"
"Normal","Chicago State University",19,3874,"2014_15"
"Normal","University of Chicago",93,5729,"2014_15"
"Normal","Columbia College Chicago",43,8929,"2014_15"
"Normal","Concordia University-Chicago",58,1491,"2014_15"
"Normal","DePaul University",71,15858,"2014_15"
"Normal","East-West University",10,555,"2014_15"
"Normal","Eastern Illinois University",59,7525,"2014_15"
"Normal","Elmhurst University",74,2773,"2014_15"
"Normal","Eureka College",53,652,"2014_15"
"Normal","Greenville University",48,1055,"2014_15"
"Normal","Harrington College of Design",42,298,"2014_15"
"Normal","Hebrew Theological College",6,404,"2014_15"
"Normal","University of Illinois Chicago",60,16635,"2014_15"
"Normal","Benedictine University",51,3750,"2014_15"
"Normal","University of Illinois Urbana-Champaign",84,31875,"2014_15"
"Normal","Illinois Wesleyan University",81,1883,"2014_15"
"Normal","Illinois College",75,948,"2014_15"
"Normal","Illinois Institute of Technology",65,3046,"2014_15"
"Normal","Argosy University-Chicago",47,245,"2014_15"
"Normal","Illinois State University",72,18056,"2014_15"
"Normal","Sanford-Brown College-Chicago",16,229,"2014_15"
"Normal","Judson University",50,1051,"2014_15"
"Normal","Kendall College",30,1452,"2014_15"
"Normal","Knox College",80,1376,"2014_15"
"Normal","Lake Forest College",73,1600,"2014_15"
"Normal","Lewis University",62,4605,"2014_15"
"Normal","Lincoln Christian University",57,553,"2014_15"
"Normal","Loyola University Chicago",73,10042,"2014_15"
"Normal","MacMurray College",29,546,"2014_15"
"Normal","McKendree University",56,2452,"2014_15"
"Normal","Millikin University",61,2082,"2014_15"
"Normal","Monmouth College",56,1281,"2014_15"
"Normal","Moody Bible Institute",86,3139,"2014_15"
"Normal","National Louis University",25,1307,"2014_15"
"Normal","North Central College",63,2685,"2014_15"
"Normal","North Park University",53,2181,"2014_15"
"Normal","Northern Illinois University",50,15391,"2014_15"
"Normal","Northwestern University",93,8725,"2014_15"
"Normal","Northeastern Illinois University",22,8284,"2014_15"
"Normal","Olivet Nazarene University",56,3504,"2014_15"
"Normal","Principia College",88,488,"2014_15"
"Normal","Quincy University",49,1075,"2014_15"
"Normal","The Illinois Institute of Art-Chicago",26,1807,"2014_15"
"Normal","Rockford University",45,1017,"2014_15"
"Normal","Roosevelt University",30,3727,"2014_15"
"Normal","Dominican University",63,2149,"2014_15"
"Normal","University of St Francis",56,1732,"2014_15"
"Normal","Saint Xavier University",54,2940,"2014_15"
"Normal","University of Illinois Springfield",49,2969,"2014_15"
"Normal","Shimer College",30,74,"2014_15"
"Normal","Southern Illinois University-Carbondale",44,13171,"2014_15"
"Normal","Southern Illinois University-Edwardsville",50,11371,"2014_15"
"Normal","Telshe Yeshiva-Chicago",24,67,"2014_15"
"Normal","Trinity Christian College",58,1237,"2014_15"
"Normal","Trinity International University-Illinois",46,857,"2014_15"
"Normal","VanderCook College of Music",80,108,"2014_15"
"Normal","Western Illinois University",54,9645,"2014_15"
"Normal","Wheaton College",89,2402,"2014_15"
"Normal","Anderson University",63,1831,"2014_15"
"Normal","Ball State University",59,15895,"2014_15"
"Normal","Bethel University",70,1520,"2014_15"
"Normal","Butler University",78,4013,"2014_15"
"Normal","Calumet College of Saint Joseph",24,870,"2014_15"
"Normal","DePauw University",80,2185,"2014_15"
"Normal","Earlham College",72,942,"2014_15"
"Normal","University of Evansville",64,2266,"2014_15"
"Normal","Franklin College",61,1022,"2014_15"
"Normal","Goshen College",72,746,"2014_15"
"Normal","Grace College and Theological Seminary",65,1478,"2014_15"
"Normal","Hanover College",69,1136,"2014_15"
"Normal","Holy Cross College",32,512,"2014_15"
"Normal","Huntington University",59,1001,"2014_15"
"Normal","Purdue University Fort Wayne",26,9314,"2014_15"
"Normal","Indiana University-Purdue University-Indianapolis",43,21777,"2014_15"
"Normal","University of Indianapolis",52,4136,"2014_15"
"Normal","Indiana Institute of Technology",31,6397,"2014_15"
"Normal","University of Southern Indiana",41,8233,"2014_15"
"Normal","Indiana State University",40,10497,"2014_15"
"Normal","Indiana University-Kokomo",28,2724,"2014_15"
"Normal","Indiana University-South Bend",26,5398,"2014_15"
"Normal","Indiana University-Bloomington",78,32252,"2014_15"
"Normal","Indiana University-Northwest",28,4370,"2014_15"
"Normal","Indiana University-Southeast",32,5476,"2014_15"
"Normal","Indiana University-East",27,3200,"2014_15"
"Normal","Manchester University",55,1254,"2014_15"
"Normal","Marian University",54,1999,"2014_15"
"Normal","Indiana Wesleyan University-Marion",63,10218,"2014_15"
"Normal","Martin University",8,345,"2014_15"
"Normal","University of Notre Dame",96,8427,"2014_15"
"Normal","Oakland City University",60,616,"2014_15"
"Normal","Purdue University-Calumet Campus",31,7316,"2014_15"
"Normal","Purdue University-North Central Campus",24,3231,"2014_15"
"Single","Rose-Hulman Institute of Technology",78,2208,"2014_15"
"Normal","University of Saint Francis-Fort Wayne",50,1796,"2014_15"
"Normal","Saint Josephs College",46,1074,"2014_15"
"Normal","Saint Mary-of-the-Woods College",45,678,"2014_15"
"Normal","Saint Mary's College",81,1508,"2014_15"
"Normal","Taylor University",74,1855,"2014_15"
"Normal","Trine University",54,1654,"2014_15"
"Normal","Valparaiso University",67,3210,"2014_15"
"Normal","Wabash College",73,923,"2014_15"
"Normal","Allen College",75,379,"2014_15"
"Normal","AIB College of Business",56,1012,"2014_15"
"Normal","Briar Cliff University",47,964,"2014_15"
"Normal","Buena Vista University",46,1892,"2014_15"
"Normal","Central College",68,1333,"2014_15"
"Normal","Clarke University",74,933,"2014_15"
"Normal","Coe College",70,1363,"2014_15"
"Normal","Cornell College",66,1082,"2014_15"
"Normal","Divine Word College",50,86,"2014_15"
"Normal","Dordt University",66,1343,"2014_15"
"Normal","Drake University",78,3290,"2014_15"
"Normal","University of Dubuque",48,1764,"2014_15"
"Normal","Faith Baptist Bible College and Theological Seminary",64,232,"2014_15"
"Normal","Graceland University-Lamoni",54,1415,"2014_15"
"Normal","Grand View University",47,1977,"2014_15"
"Normal","Grinnell College",89,1670,"2014_15"
"Normal","Iowa State University",69,28336,"2014_15"
"Normal","Iowa Wesleyan University",32,473,"2014_15"
"Normal","University of Iowa",70,21486,"2014_15"
"Normal","Loras College",64,1468,"2014_15"
"Normal","Luther College",82,2326,"2014_15"
"Normal","Maharishi International University",32,392,"2014_15"
"Normal","Morningside College",54,1293,"2014_15"
"Normal","Mount Mercy University",72,1417,"2014_15"
"Normal","Ashford University",19,44744,"2014_15"
"Normal","University of Northern Iowa",64,9882,"2014_15"
"Normal","Northwestern College",63,1113,"2014_15"
"Normal","Saint Ambrose University",57,2675,"2014_15"
"Normal","Simpson College",73,1644,"2014_15"
"Normal","Upper Iowa University",38,4304,"2014_15"
"Normal","Waldorf University",33,1356,"2014_15"
