"Color","University.Name","Admission.Rate","SAT.Average","Year"
"Normal","Savannah College of Art and Design",66.55,1081,"2014_15"
"Normal","Savannah State University",77.63,847,"2014_15"
"Normal","Shorter University",69.22,951,"2014_15"
"Normal","Spelman College",54,1005,"2014_15"
"Normal","Southern Polytechnic State University",79.06,1134,"2014_15"
"Normal","Toccoa Falls College",37.05,970,"2014_15"
"Normal","Truett McConnell University",96.33,971,"2014_15"
"Normal","Valdosta State University",54.14,1018,"2014_15"
"Normal","University of West Georgia",48.61,950,"2014_15"
"Normal","Young Harris College",50.29,990,"2014_15"
"Normal","Chaminade University of Honolulu",85.62,958,"2014_15"
"Normal","University of Hawaii at Hilo",71.34,936,"2014_15"
"Normal","University of Hawaii at Manoa",78.82,1070,"2014_15"
"Normal","Boise Bible College",92.75,996,"2014_15"
"Normal","Boise State University",77,1042,"2014_15"
"Normal","University of Idaho",67.48,1057,"2014_15"
"Normal","The College of Idaho",92.9,1076,"2014_15"
"Normal","Lewis-Clark State College",99.04,923,"2014_15"
"Normal","Northwest Nazarene University",65.07,1052,"2014_15"
"Normal","Brigham Young University-Idaho",99.62,1041,"2014_15"
"Normal","School of the Art Institute of Chicago",69.15,1065,"2014_15"
"Normal","Aurora University",81.1,1010,"2014_15"
"Normal","Blackburn College",65.1,989,"2014_15"
"Normal","Bradley University",64.3,1162,"2014_15"
"Normal","Chicago State University",29.96,870,"2014_15"
"Normal","University of Chicago",8.76,1505,"2014_15"
"Normal","Concordia University-Chicago",53.85,1031,"2014_15"
"Normal","Eastern Illinois University",49.76,1010,"2014_15"
"Normal","Elmhurst University",67.71,1089,"2014_15"
"Normal","Eureka College",64.48,1053,"2014_15"
"Normal","Governors State University",94.09,909,"2014_15"
"Normal","Greenville University",55.68,1056,"2014_15"
"Normal","Hebrew Theological College",92.84,1030,"2014_15"
"Normal","University of Illinois Chicago",74.48,1125,"2014_15"
"Normal","Benedictine University",77.17,1030,"2014_15"
"Normal","University of Illinois Urbana-Champaign",59.04,1326,"2014_15"
"Normal","Illinois Wesleyan University",60.43,1249,"2014_15"
"Normal","Illinois Institute of Technology",50.6,1266,"2014_15"
"Normal","Illinois State University",73.88,1110,"2014_15"
"Normal","Judson University",73.12,1080,"2014_15"
"Normal","Lewis University",61.91,1070,"2014_15"
"Normal","Lincoln Christian University",47.58,1006,"2014_15"
"Normal","Loyola University Chicago",63.34,1212,"2014_15"
"Normal","MacMurray College",78.37,970,"2014_15"
"Normal","McKendree University",61.15,1048,"2014_15"
"Normal","Methodist College",43.86,930,"2014_15"
"Normal","Millikin University",62.73,1046,"2014_15"
"Normal","Monmouth College",69.06,1033,"2014_15"
"Normal","North Central College",59.84,1125,"2014_15"
"Normal","North Park University",54.61,1025,"2014_15"
"Normal","Northern Illinois University",50.89,1030,"2014_15"
"Normal","Northwestern University",13.11,1461,"2014_15"
"Normal","Northeastern Illinois University",57.61,890,"2014_15"
"Normal","Olivet Nazarene University",74.49,1105,"2014_15"
"Normal","Principia College",79.15,1093,"2014_15"
"Normal","Quincy University",88.93,1024,"2014_15"
"Normal","Rockford University",54.8,1009,"2014_15"
"Normal","Roosevelt University",77.64,1050,"2014_15"
"Normal","Dominican University",60.67,1029,"2014_15"
"Normal","University of St Francis",50.56,1064,"2014_15"
"Normal","Saint Xavier University",49.64,1008,"2014_15"
"Normal","University of Illinois Springfield",61.58,1081,"2014_15"
"Normal","Southern Illinois University-Carbondale",81.53,1055,"2014_15"
"Normal","Southern Illinois University-Edwardsville",86.96,1070,"2014_15"
"Normal","Trinity Christian College",90.22,1080,"2014_15"
"Normal","Trinity International University-Illinois",100,1062,"2014_15"
"Normal","VanderCook College of Music",76.09,1109,"2014_15"
"Normal","Western Illinois University",69.64,970,"2014_15"
"Normal","Wheaton College",69.15,1311,"2014_15"
"Normal","Anderson University",54.91,1048,"2014_15"
"Normal","Ball State University",59.88,1066,"2014_15"
"Normal","Bethel University",70.53,1040,"2014_15"
"Normal","Butler University",68.46,1205,"2014_15"
"Normal","DePauw University",56.6,1213,"2014_15"
"Normal","University of Evansville",82.95,1144,"2014_15"
"Normal","Franklin College",69.22,1031,"2014_15"
"Normal","Goshen College",54,1109,"2014_15"
"Normal","Grace College and Theological Seminary",80.12,1110,"2014_15"
"Normal","Hanover College",64.47,1101,"2014_15"
"Normal","Holy Cross College",93.16,969,"2014_15"
"Normal","Huntington University",97.11,1034,"2014_15"
"Normal","Purdue University Fort Wayne",90.87,1002,"2014_15"
"Normal","Indiana University-Purdue University-Indianapolis",70.49,1010,"2014_15"
"Normal","University of Indianapolis",66.48,1018,"2014_15"
"Normal","Indiana Institute of Technology",70.57,965,"2014_15"
"Normal","University of Southern Indiana",71.34,1001,"2014_15"
"Normal","Indiana State University",82.54,913,"2014_15"
"Normal","Indiana University-Kokomo",67.26,934,"2014_15"
"Normal","Indiana University-South Bend",73.33,942,"2014_15"
"Normal","Indiana University-Bloomington",76.09,1198,"2014_15"
"Normal","Indiana University-Northwest",76.78,916,"2014_15"
"Normal","Indiana University-Southeast",80.32,959,"2014_15"
"Normal","Indiana University-East",63.76,943,"2014_15"
"Normal","Manchester University",74.28,1000,"2014_15"
"Normal","Marian University",56.44,1036,"2014_15"
"Normal","Indiana Wesleyan University-Marion",95.05,1081,"2014_15"
"Normal","University of Notre Dame",21.14,1450,"2014_15"
"Normal","Oakland City University",55.04,960,"2014_15"
"Normal","Purdue University-Calumet Campus",59.68,965,"2014_15"
"Normal","Purdue University-North Central Campus",72.51,959,"2014_15"
"Single","Rose-Hulman Institute of Technology",58.79,1308,"2014_15"
"Normal","University of Saint Francis-Fort Wayne",96.86,981,"2014_15"
"Normal","Saint Josephs College",66.41,996,"2014_15"
"Normal","Saint Mary-of-the-Woods College",69.37,943,"2014_15"
"Normal","Saint Mary's College",83.34,1144,"2014_15"
"Normal","Taylor University",88.03,1184,"2014_15"
"Normal","Trine University",75.99,1078,"2014_15"
"Normal","Valparaiso University",82.36,1155,"2014_15"
"Normal","Wabash College",69.98,1128,"2014_15"
"Normal","Briar Cliff University",61.69,1005,"2014_15"
"Normal","Buena Vista University",67.89,1047,"2014_15"
"Normal","Central College",68.9,1101,"2014_15"
"Normal","Clarke University",70.49,1029,"2014_15"
"Normal","Coe College",55.3,1146,"2014_15"
"Normal","Cornell College",73.63,1200,"2014_15"
"Normal","Dordt University",72.99,1100,"2014_15"
"Normal","Drake University",69.26,1239,"2014_15"
"Normal","University of Dubuque",77.88,941,"2014_15"
"Normal","Faith Baptist Bible College and Theological Seminary",67.33,1004,"2014_15"
"Normal","Graceland University-Lamoni",49.84,938,"2014_15"
"Normal","Grand View University",98.7,967,"2014_15"
"Normal","Grinnell College",28.01,1398,"2014_15"
"Normal","Iowa State University",86.91,1145,"2014_15"
"Normal","Iowa Wesleyan University",41.07,990,"2014_15"
"Normal","University of Iowa",80.95,1164,"2014_15"
"Normal","Loras College",95.13,1088,"2014_15"
"Normal","Luther College",71.16,1157,"2014_15"
"Normal","Morningside College",56.82,1065,"2014_15"
"Normal","Mount Mercy University",56.83,1030,"2014_15"
"Normal","University of Northern Iowa",76.91,1050,"2014_15"
"Normal","Northwestern College",77.83,1103,"2014_15"
