"Color","University.Name","Completion.Rate..4.year.institutions","Average.Cost.per.Academic.Year","Year"
"Normal","Moody Bible Institute",86,27318,"2014_15"
"Normal","National Louis University",25,26605,"2014_15"
"Normal","North Central College",63,43557,"2014_15"
"Normal","North Park University",53,31964,"2014_15"
"Normal","Northern Illinois University",50,27959,"2014_15"
"Normal","Northwestern University",93,63028,"2014_15"
"Normal","Northeastern Illinois University",22,23095,"2014_15"
"Normal","Olivet Nazarene University",56,40949,"2014_15"
"Normal","Quincy University",49,36972,"2014_15"
"Normal","The Illinois Institute of Art-Chicago",26,31823,"2014_15"
"Normal","Rockford University",45,37127,"2014_15"
"Normal","Roosevelt University",30,42022,"2014_15"
"Normal","Dominican University",63,36761,"2014_15"
"Normal","University of St Francis",56,36919,"2014_15"
"Normal","Saint Xavier University",54,36152,"2014_15"
"Normal","University of Illinois Springfield",49,21630,"2014_15"
"Normal","Shimer College",30,42277,"2014_15"
"Normal","Southern Illinois University-Carbondale",44,25105,"2014_15"
"Normal","Southern Illinois University-Edwardsville",50,22219,"2014_15"
"Normal","Telshe Yeshiva-Chicago",24,16000,"2014_15"
"Normal","Trinity Christian College",58,35139,"2014_15"
"Normal","Trinity International University-Illinois",46,39292,"2014_15"
"Normal","VanderCook College of Music",80,35742,"2014_15"
"Normal","Western Illinois University",54,25074,"2014_15"
"Normal","Wheaton College",89,42390,"2014_15"
"Normal","Anderson University",63,38820,"2014_15"
"Normal","Ball State University",59,21807,"2014_15"
"Normal","Bethel University",70,34378,"2014_15"
"Normal","Butler University",78,48784,"2014_15"
"Normal","Calumet College of Saint Joseph",24,20711,"2014_15"
"Normal","DePauw University",80,53410,"2014_15"
"Normal","Earlham College",72,52710,"2014_15"
"Normal","University of Evansville",64,43495,"2014_15"
"Normal","Franklin College",61,39697,"2014_15"
"Normal","Goshen College",72,38153,"2014_15"
"Normal","Grace College and Theological Seminary",65,33215,"2014_15"
"Normal","Hanover College",69,43582,"2014_15"
"Normal","Holy Cross College",32,35688,"2014_15"
"Normal","Huntington University",59,35059,"2014_15"
"Normal","Purdue University Fort Wayne",26,18755,"2014_15"
"Normal","Indiana University-Purdue University-Indianapolis",43,19875,"2014_15"
"Normal","University of Indianapolis",52,37238,"2014_15"
"Normal","Indiana Institute of Technology",31,36187,"2014_15"
"Normal","University of Southern Indiana",41,18469,"2014_15"
"Normal","Indiana State University",40,19897,"2014_15"
"Normal","Indiana University-Kokomo",28,15652,"2014_15"
"Normal","Indiana University-South Bend",26,16178,"2014_15"
"Normal","Indiana University-Bloomington",78,23716,"2014_15"
"Normal","Indiana University-Northwest",28,14067,"2014_15"
"Normal","Indiana University-Southeast",32,16428,"2014_15"
"Normal","Indiana University-East",27,15743,"2014_15"
"Normal","Manchester University",55,39325,"2014_15"
"Normal","Marian University",54,39937,"2014_15"
"Normal","Indiana Wesleyan University-Marion",63,34433,"2014_15"
"Normal","Martin University",8,22780,"2014_15"
"Normal","University of Notre Dame",96,60117,"2014_15"
"Normal","Oakland City University",60,35500,"2014_15"
"Normal","Purdue University-Calumet Campus",31,16520,"2014_15"
"Normal","Purdue University-North Central Campus",24,14334,"2014_15"
"Single","Rose-Hulman Institute of Technology",78,57138,"2014_15"
"Normal","University of Saint Francis-Fort Wayne",50,32377,"2014_15"
"Normal","Saint Josephs College",46,37735,"2014_15"
"Normal","Saint Mary-of-the-Woods College",45,41669,"2014_15"
"Normal","Saint Mary's College",81,47660,"2014_15"
"Normal","Taylor University",74,39699,"2014_15"
"Normal","Trine University",54,42733,"2014_15"
"Normal","Valparaiso University",67,44674,"2014_15"
"Normal","Wabash College",73,46660,"2014_15"
"Normal","Allen College",75,30682,"2014_15"
"Normal","AIB College of Business",56,23486,"2014_15"
"Normal","Briar Cliff University",47,38198,"2014_15"
"Normal","Buena Vista University",46,40430,"2014_15"
"Normal","Central College",68,45151,"2014_15"
"Normal","Clarke University",74,39916,"2014_15"
"Normal","Coe College",70,47060,"2014_15"
"Normal","Cornell College",66,48905,"2014_15"
"Normal","Divine Word College",50,18245,"2014_15"
"Normal","Dordt University",66,38709,"2014_15"
"Normal","Drake University",78,44261,"2014_15"
"Normal","University of Dubuque",48,35300,"2014_15"
"Normal","Faith Baptist Bible College and Theological Seminary",64,25899,"2014_15"
"Normal","Graceland University-Lamoni",54,35380,"2014_15"
"Normal","Grand View University",47,32667,"2014_15"
"Normal","Grinnell College",89,56354,"2014_15"
"Normal","Iowa State University",69,18828,"2014_15"
"Normal","Iowa Wesleyan University",32,37965,"2014_15"
"Normal","University of Iowa",70,20691,"2014_15"
"Normal","Loras College",64,38758,"2014_15"
"Normal","Luther College",82,48419,"2014_15"
"Normal","Maharishi International University",32,38630,"2014_15"
"Normal","Morningside College",54,37944,"2014_15"
"Normal","Mount Mercy University",72,38095,"2014_15"
"Normal","Ashford University",19,24326,"2014_15"
"Normal","University of Northern Iowa",64,18618,"2014_15"
"Normal","Northwestern College",63,39236,"2014_15"
"Normal","Saint Ambrose University",57,39639,"2014_15"
"Normal","Simpson College",73,43008,"2014_15"
"Normal","Upper Iowa University",38,35524,"2014_15"
"Normal","Waldorf University",33,31369,"2014_15"
"Normal","Wartburg College",71,45305,"2014_15"
"Normal","William Penn University",35,34095,"2014_15"
"Normal","Baker University",58,39122,"2014_15"
"Normal","Benedictine College",60,37663,"2014_15"
"Normal","Bethany College",37,35133,"2014_15"
"Normal","Bethel College-North Newton",58,35106,"2014_15"
"Normal","Central Christian College of Kansas",39,24696,"2014_15"
"Normal","Emporia State University",39,16205,"2014_15"
"Normal","Fort Hays State University",43,15567,"2014_15"
"Normal","Barclay College",47,25790,"2014_15"
"Normal","Friends University",34,31952,"2014_15"
"Normal","University of Kansas",60,23049,"2014_15"
"Normal","Newman University",48,31874,"2014_15"
"Normal","Kansas State University",59,20722,"2014_15"
"Normal","Kansas Wesleyan University",33,36002,"2014_15"
"Normal","Manhattan Christian College",45,26300,"2014_15"
"Normal","McPherson College",48,35312,"2014_15"
"Normal","MidAmerica Nazarene University",50,33252,"2014_15"
"Normal","Ottawa University-Ottawa",31,36243,"2014_15"
"Normal","Pittsburg State University",50,15931,"2014_15"
"Normal","University of Saint Mary",35,33706,"2014_15"
"Normal","Southwestern College",54,37517,"2014_15"
"Normal","Sterling College",39,30471,"2014_15"
"Normal","Tabor College",48,36750,"2014_15"
"Normal","Washburn University",34,16512,"2014_15"
"Normal","Wichita State University",44,15367,"2014_15"
"Normal","Alice Lloyd College",51,21391,"2014_15"
"Normal","Asbury University",68,34962,"2014_15"
"Normal","Bellarmine University",68,49508,"2014_15"
"Normal","Berea College",62,31870,"2014_15"
"Normal","Brescia University",26,27812,"2014_15"
"Normal","Campbellsville University",39,32456,"2014_15"
"Normal","Centre College",82,47897,"2014_15"
"Normal","Clear Creek Baptist Bible College",62,14528,"2014_15"
"Normal","University of the Cumberlands",36,33107,"2014_15"
"Normal","Eastern Kentucky University",42,18181,"2014_15"
"Normal","Georgetown College",55,43776,"2014_15"
"Normal","Kentucky Mountain Bible College",53,16401,"2014_15"
"Normal","Kentucky State University",20,17231,"2014_15"
"Normal","Kentucky Wesleyan College",41,31040,"2014_15"
"Normal","University of Kentucky",61,23162,"2014_15"
"Normal","Kentucky Christian University",34,29825,"2014_15"
"Normal","Lindsey Wilson College",35,34602,"2014_15"
"Normal","University of Louisville",54,22389,"2014_15"
"Normal","Midway University",43,34189,"2014_15"
"Normal","Morehead State University",43,18191,"2014_15"
"Normal","Murray State University",52,16825,"2014_15"
"Normal","Northern Kentucky University",36,15159,"2014_15"
"Normal","University of Pikeville",40,32707,"2014_15"
"Normal","Saint Catharine College",31,34371,"2014_15"
"Normal","Spalding University",38,32509,"2014_15"
"Normal","Thomas More University",46,37459,"2014_15"
"Normal","Transylvania University",70,43304,"2014_15"
"Normal","Union College",32,31709,"2014_15"
"Normal","Western Kentucky University",44,17493,"2014_15"
"Normal","Centenary College of Louisiana",52,44596,"2014_15"
"Normal","Dillard University",36,26606,"2014_15"
"Normal","Grambling State University",30,21692,"2014_15"
"Normal","Louisiana State University-Alexandria",21,15182,"2014_15"
"Normal","Louisiana State University and Agricultural & Mechanical College",67,21846,"2014_15"
"Normal","Louisiana State University-Shreveport",31,15753,"2014_15"
"Normal","Louisiana College",47,22060,"2014_15"
"Normal","Louisiana Tech University",52,17862,"2014_15"
"Normal","Loyola University New Orleans",62,49791,"2014_15"
"Normal","McNeese State University",41,15951,"2014_15"
"Normal","University of New Orleans",34,16889,"2014_15"
"Normal","Nicholls State University",40,16954,"2014_15"
"Normal","University of Louisiana at Monroe",40,16310,"2014_15"
