"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","Concordia University-Irvine","Irvine","CA",86.08,1038,510,520,23,1884,42472,30640,30640,0.56,"Normal"
"2014_15","San Diego Christian College","Santee","CA",55.5,992,495,480,22,940,39364,27090,27090,0.44,"Normal"
"2014_15","Claremont McKenna College","Claremont","CA",10.77,1419,705,730,32,1293,62010,47395,47395,0.9,"Normal"
"2014_15","Cogswell University of Silicon Valley","San Jose","CA",43.8,NA,NA,NA,NA,607,28968,16160,16160,0.29,"Normal"
"2014_15","Columbia College Hollywood","Tarzana","CA",78.49,NA,NA,NA,NA,307,31434,18975,18975,0.49,"Normal"
"2014_15","Design Institute of San Diego","San Diego","CA",NA,NA,NA,NA,NA,171,25514,17547,17547,0.33,"Normal"
"2014_15","Dominican University of California","San Rafael","CA",80.92,1047,520,525,23,1448,57579,41730,41730,0.62,"Normal"
"2014_15","Fresno Pacific University","Fresno","CA",66.62,1010,510,500,22,2605,35508,26638,26638,0.63,"Normal"
"2014_15","Golden Gate University-San Francisco","San Francisco","CA",NA,NA,NA,NA,NA,482,NA,14640,14640,NA,"Normal"
"2014_15","Harvey Mudd College","Claremont","CA",14.25,1500,724,770,34,802,63860,48594,48594,0.9,"Normal"
"2014_15","Holy Names University","Oakland","CA",57.06,885,435,448,19,690,48896,34488,34488,0.5,"Normal"
"2014_15","Humboldt State University","Arcata","CA",76.55,986,500,485,21,7958,22287,7171,18331,0.44,"Normal"
"2014_15","Humphreys University-Stockton and Modesto Campuses","Stockton","CA",NA,NA,NA,NA,NA,617,21405,12456,12456,0.68,"Normal"
"2014_15","John F. Kennedy University","Pleasant Hill","CA",NA,NA,NA,NA,NA,251,NA,NA,NA,NA,"Normal"
"2014_15","American Jewish University","Los Angeles","CA",41.46,NA,NA,NA,NA,96,46869,29132,29132,0.55,"Normal"
