,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1179,2014_15,Ball State University,Muncie,IN,Bachelor's,NO,59.88,1066.0,550.0,545.0,22.0,15895.0,81.89,7.4,3.82,1.01,21807.0,9344.0,24610.0,0.59
1180,2014_15,Bethel University,Mishawaka,IN,Bachelor's,NO,70.53,1040.0,505.0,525.0,23.0,1520.0,77.04,10.59,6.32,0.72,34378.0,25830.0,25830.0,0.7
1181,2014_15,Butler University,Indianapolis,IN,Bachelor's,NO,68.46,1205.0,580.0,590.0,27.0,4013.0,82.83,3.66,3.34,2.59,48784.0,35652.0,35652.0,0.78
1182,2014_15,Calumet College of Saint Joseph,Whiting,IN,Bachelor's,NO,33.78,,,,,870.0,41.61,26.9,29.31,0.92,20711.0,16405.0,16405.0,0.24
1187,2014_15,DePauw University,Greencastle,IN,Bachelor's,NO,56.6,1213.0,585.0,610.0,27.0,2185.0,69.24,5.72,3.48,3.43,53410.0,42746.0,42746.0,0.8
1190,2014_15,Earlham College,Richmond,IN,Bachelor's,NO,64.52,,,,,942.0,53.29,12.95,6.48,5.94,52710.0,42870.0,42870.0,0.72
1191,2014_15,University of Evansville,Evansville,IN,Bachelor's,NO,82.95,1144.0,560.0,565.0,26.0,2266.0,75.68,3.0,3.09,1.41,43495.0,31776.0,31776.0,0.64
1192,2014_15,Franklin College,Franklin,IN,Bachelor's,NO,69.22,1031.0,505.0,515.0,23.0,1022.0,83.76,4.21,1.96,0.59,39697.0,28185.0,28185.0,0.61
1193,2014_15,Goshen College,Goshen,IN,Bachelor's,NO,54.0,1109.0,548.0,553.0,25.0,746.0,67.69,4.02,13.0,1.74,38153.0,29700.0,29700.0,0.72
1194,2014_15,Grace College and Theological Seminary,Winona Lake,IN,Bachelor's,NO,80.12,1110.0,555.0,560.0,24.0,1478.0,75.37,5.41,3.59,0.81,33215.0,24670.0,24670.0,0.65
1197,2014_15,Hanover College,Hanover,IN,Bachelor's,NO,64.47,1101.0,530.0,525.0,26.0,1136.0,81.69,4.84,2.29,1.41,43582.0,33023.0,33023.0,0.69
1199,2014_15,Holy Cross College,Notre Dame,IN,Bachelor's,NO,93.16,969.0,485.0,465.0,21.0,512.0,67.58,9.57,10.94,1.56,35688.0,27150.0,27150.0,0.32
1201,2014_15,Huntington University,Huntington,IN,Bachelor's,NO,97.11,1034.0,499.0,505.0,23.0,1001.0,86.51,2.3,3.8,0.5,35059.0,24771.0,24771.0,0.59
1203,2014_15,Purdue University Fort Wayne,Fort Wayne,IN,Bachelor's,NO,90.87,1002.0,495.0,495.0,22.0,9314.0,82.95,5.1,4.8,2.33,18755.0,7949.0,19092.0,0.26
1204,2014_15,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,Bachelor's,NO,70.49,1010.0,495.0,505.0,22.0,21777.0,71.86,10.36,5.68,3.59,19875.0,8909.0,30089.0,0.43
1206,2014_15,University of Indianapolis,Indianapolis,IN,Bachelor's,NO,66.48,1018.0,500.0,510.0,22.0,4136.0,66.9,9.41,4.01,1.18,37238.0,25414.0,25414.0,0.52
1207,2014_15,Indiana Institute of Technology,Fort Wayne,IN,Bachelor's,NO,70.57,965.0,460.0,480.0,21.0,6397.0,40.47,39.38,3.7,0.48,36187.0,24860.0,24860.0,0.31
1208,2014_15,University of Southern Indiana,Evansville,IN,Bachelor's,NO,71.34,1001.0,495.0,500.0,22.0,8233.0,85.81,4.48,2.33,1.19,18469.0,6957.0,16297.0,0.41
1209,2014_15,Indiana State University,Terre Haute,IN,Bachelor's,NO,82.54,913.0,460.0,455.0,19.0,10497.0,66.37,18.81,3.21,1.2,19897.0,8416.0,18346.0,0.4
1210,2014_15,Indiana University-Kokomo,Kokomo,IN,Bachelor's,NO,67.26,934.0,465.0,470.0,20.0,2724.0,84.07,4.33,5.03,0.81,15652.0,6811.0,18081.0,0.28
1211,2014_15,Indiana University-South Bend,South Bend,IN,Bachelor's,NO,73.33,942.0,470.0,470.0,20.0,5398.0,75.14,7.84,8.45,1.39,16178.0,6905.0,18081.0,0.26
1212,2014_15,Indiana University-Bloomington,Bloomington,IN,Bachelor's,NO,76.09,1198.0,575.0,600.0,27.0,32252.0,72.07,3.99,4.76,4.18,23716.0,10388.0,33241.0,0.78
1213,2014_15,Indiana University-Northwest,Gary,IN,Bachelor's,NO,76.78,916.0,450.0,455.0,20.0,4370.0,55.72,18.42,19.41,2.24,14067.0,6854.0,18081.0,0.28
1214,2014_15,Indiana University-Southeast,New Albany,IN,Bachelor's,NO,80.32,959.0,480.0,470.0,21.0,5476.0,86.1,5.95,2.67,1.44,16428.0,6827.0,18081.0,0.32
1215,2014_15,Indiana University-East,Richmond,IN,Bachelor's,NO,63.76,943.0,460.0,470.0,21.0,3200.0,88.31,3.94,2.84,0.78,15743.0,6787.0,18081.0,0.27
1228,2014_15,Manchester University,North Manchester,IN,Bachelor's,NO,74.28,1000.0,490.0,505.0,22.0,1254.0,84.05,4.23,4.86,1.12,39325.0,29040.0,29040.0,0.55
1229,2014_15,Marian University,Indianapolis,IN,Bachelor's,NO,56.44,1036.0,505.0,505.0,23.0,1999.0,73.04,13.46,4.95,1.2,39937.0,29400.0,29400.0,0.54
1230,2014_15,Indiana Wesleyan University-Marion,Marion,IN,Bachelor's,NO,95.05,1081.0,530.0,525.0,24.0,10218.0,75.31,18.25,3.07,0.65,34433.0,24102.0,24102.0,0.63
1231,2014_15,Martin University,Indianapolis,IN,Bachelor's,NO,,,,,,345.0,3.19,92.75,1.45,0.0,22780.0,11960.0,11960.0,0.08
1238,2014_15,University of Notre Dame,Notre Dame,IN,Bachelor's,NO,21.14,1450.0,705.0,725.0,33.0,8427.0,70.67,3.68,10.45,5.71,60117.0,46237.0,46237.0,0.96
1239,2014_15,Oakland City University,Oakland City,IN,Bachelor's,NO,55.04,960.0,475.0,475.0,21.0,616.0,72.73,6.66,2.11,0.16,35500.0,19800.0,19800.0,0.6
1241,2014_15,Purdue University-Calumet Campus,Hammond,IN,Bachelor's,NO,59.68,965.0,480.0,485.0,,7316.0,55.84,13.45,18.47,2.19,16520.0,6758.0,15266.0,0.31
1242,2014_15,Purdue University-North Central Campus,Westville,IN,Bachelor's,NO,72.51,959.0,480.0,475.0,21.0,3231.0,81.58,5.23,9.01,0.93,14334.0,7329.0,17447.0,0.24
1245,2014_15,Rose-Hulman Institute of Technology,Terre Haute,IN,Bachelor's,NO,58.79,1308.0,605.0,690.0,30.0,2208.0,75.82,2.49,3.08,3.62,57138.0,43683.0,43683.0,0.78
1247,2014_15,University of Saint Francis-Fort Wayne,Fort Wayne,IN,Bachelor's,NO,96.86,981.0,480.0,485.0,22.0,1796.0,80.07,6.79,6.35,0.95,32377.0,25930.0,25930.0,0.5
1248,2014_15,Saint Josephs College,Rensselaer,IN,Bachelor's,NO,66.41,996.0,500.0,502.0,21.0,1074.0,80.63,8.57,4.28,0.47,37735.0,27890.0,27890.0,0.46
1249,2014_15,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,Bachelor's,NO,69.37,943.0,485.0,455.0,20.0,678.0,72.12,3.98,1.47,0.44,41669.0,28351.0,28351.0,0.45
1250,2014_15,Saint Mary's College,Notre Dame,IN,Bachelor's,NO,83.34,1144.0,560.0,550.0,26.0,1508.0,78.25,1.39,11.07,1.53,47660.0,35970.0,35970.0,0.81
1254,2014_15,Taylor University,Upland,IN,Bachelor's,NO,88.03,1184.0,560.0,565.0,27.0,1855.0,86.52,2.64,2.8,2.26,39699.0,29538.0,29538.0,0.74
1255,2014_15,Trine University,Angola,IN,Bachelor's,NO,75.99,1078.0,508.0,545.0,24.0,1654.0,78.3,2.18,3.63,0.42,42733.0,29600.0,29600.0,0.54
1256,2014_15,Valparaiso University,Valparaiso,IN,Bachelor's,NO,82.36,1155.0,550.0,560.0,26.0,3210.0,73.33,5.26,7.69,1.78,44674.0,34760.0,34760.0,0.67
1259,2014_15,Wabash College,Crawfordsville,IN,Bachelor's,NO,69.98,1128.0,550.0,580.0,25.0,923.0,74.65,5.96,6.39,1.3,46660.0,37750.0,37750.0,0.73
1260,2014_15,Allen College,Waterloo,IA,Bachelor's,NO,0.0,,,,,379.0,88.92,2.11,0.26,1.58,30682.0,19295.0,19295.0,0.75
1261,2014_15,AIB College of Business,Des Moines,IA,Bachelor's,NO,59.22,,,,,1012.0,45.16,3.75,4.84,0.79,23486.0,15666.0,15666.0,0.56
1262,2014_15,Briar Cliff University,Sioux City,IA,Bachelor's,NO,61.69,1005.0,475.0,510.0,22.0,964.0,77.18,5.71,9.34,1.56,38198.0,27202.0,27202.0,0.47
1263,2014_15,Buena Vista University,Storm Lake,IA,Bachelor's,NO,67.89,1047.0,435.0,478.0,23.0,1892.0,80.66,1.64,4.76,1.37,40430.0,30406.0,30406.0,0.46
1267,2014_15,Central College,Pella,IA,Bachelor's,NO,68.9,1101.0,500.0,505.0,24.0,1333.0,89.72,1.73,3.0,1.05,45151.0,32124.0,32124.0,0.68
1268,2014_15,Clarke University,Dubuque,IA,Bachelor's,NO,70.49,1029.0,489.0,509.0,22.0,933.0,86.92,3.32,4.5,0.75,39916.0,28900.0,28900.0,0.74
1269,2014_15,Coe College,Cedar Rapids,IA,Bachelor's,NO,55.3,1146.0,573.0,580.0,25.0,1363.0,76.52,5.21,8.0,2.42,47060.0,37320.0,37320.0,0.7
1270,2014_15,Cornell College,Mount Vernon,IA,Bachelor's,NO,73.63,1200.0,600.0,585.0,27.0,1082.0,66.17,5.08,12.94,2.4,48905.0,37500.0,37500.0,0.66
1273,2014_15,Divine Word College,Epworth,IA,Bachelor's,NO,90.91,,,,,86.0,1.16,2.33,11.63,30.23,18245.0,12350.0,12350.0,0.5
1274,2014_15,Dordt University,Sioux Center,IA,Bachelor's,NO,72.99,1100.0,535.0,545.0,24.0,1343.0,74.46,1.64,0.89,0.82,38709.0,27460.0,27460.0,0.66
1275,2014_15,Drake University,Des Moines,IA,Bachelor's,NO,69.26,1239.0,585.0,600.0,28.0,3290.0,79.03,3.5,3.53,4.16,44261.0,32246.0,32246.0,0.78
1276,2014_15,University of Dubuque,Dubuque,IA,Bachelor's,NO,77.88,941.0,440.0,440.0,20.0,1764.0,67.23,12.02,7.71,2.04,35300.0,26950.0,26950.0,0.48
1280,2014_15,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,Bachelor's,NO,67.33,1004.0,480.0,475.0,22.0,232.0,92.67,2.16,1.29,0.43,25899.0,16086.0,16086.0,0.64
1282,2014_15,Graceland University-Lamoni,Lamoni,IA,Bachelor's,NO,49.84,938.0,425.0,435.0,21.0,1415.0,64.1,10.39,8.69,0.64,35380.0,24920.0,24920.0,0.54
1283,2014_15,Grand View University,Des Moines,IA,Bachelor's,NO,98.7,967.0,450.0,485.0,21.0,1977.0,72.94,8.09,3.69,2.98,32667.0,23426.0,23426.0,0.47
1284,2014_15,Grinnell College,Grinnell,IA,Bachelor's,NO,28.01,1398.0,685.0,710.0,32.0,1670.0,58.44,5.87,7.84,7.49,56354.0,45620.0,45620.0,0.89
1296,2014_15,Iowa State University,Ames,IA,Bachelor's,NO,86.91,1145.0,545.0,605.0,25.0,28336.0,76.5,2.59,4.49,2.79,18828.0,7731.0,20617.0,0.69
1297,2014_15,Iowa Wesleyan University,Mount Pleasant,IA,Bachelor's,NO,41.07,990.0,,520.0,21.0,473.0,59.83,6.13,3.81,1.06,37965.0,26010.0,26010.0,0.32
1299,2014_15,University of Iowa,Iowa City,IA,Bachelor's,NO,80.95,1164.0,540.0,620.0,26.0,21486.0,68.23,2.96,6.47,3.11,20691.0,8079.0,27409.0,0.7
1305,2014_15,Loras College,Dubuque,IA,Bachelor's,NO,95.13,1088.0,482.0,517.0,24.0,1468.0,83.51,2.59,6.06,0.82,38758.0,29700.0,29700.0,0.64
1306,2014_15,Luther College,Decorah,IA,Bachelor's,NO,71.16,1157.0,522.0,575.0,26.0,2326.0,84.65,1.46,3.4,1.68,48419.0,38370.0,38370.0,0.82
1307,2014_15,Maharishi International University,Fairfield,IA,Bachelor's,NO,38.1,,,,,392.0,38.01,9.18,8.93,3.32,38630.0,26430.0,26430.0,0.32
1310,2014_15,Morningside College,Sioux City,IA,Bachelor's,NO,56.82,1065.0,475.0,525.0,23.0,1293.0,82.75,1.78,6.11,0.85,37944.0,27180.0,27180.0,0.54
1311,2014_15,Mount Mercy University,Cedar Rapids,IA,Bachelor's,NO,56.83,1030.0,,,22.0,1417.0,83.91,4.16,1.48,1.41,38095.0,27010.0,27010.0,0.72
1312,2014_15,Ashford University,San Diego,CA,Bachelor's,NO,,,,,,44744.0,47.09,35.3,9.53,1.18,24326.0,10480.0,10480.0,0.19
1314,2014_15,University of Northern Iowa,Cedar Falls,IA,Bachelor's,NO,76.91,1050.0,535.0,540.0,23.0,9882.0,85.22,2.86,3.38,0.86,18618.0,7749.0,17647.0,0.64
1315,2014_15,Northwestern College,Orange City,IA,Bachelor's,NO,77.83,1103.0,528.0,565.0,24.0,1113.0,83.56,1.44,5.12,1.17,39236.0,27860.0,27860.0,0.63
1320,2014_15,Palmer College of Chiropractic,Davenport,IA,Bachelor's,NO,100.0,,,,,34.0,76.47,5.88,5.88,8.82,28744.0,8556.0,8556.0,
1322,2014_15,Saint Ambrose University,Davenport,IA,Bachelor's,NO,96.07,1050.0,,,23.0,2675.0,81.23,3.07,6.06,1.16,39639.0,27540.0,27540.0,0.57
1326,2014_15,Simpson College,Indianola,IA,Bachelor's,NO,85.45,1125.0,,,25.0,1644.0,87.96,1.76,2.25,1.4,43008.0,32550.0,32550.0,0.73
1332,2014_15,Upper Iowa University,Fayette,IA,Bachelor's,NO,69.94,950.0,,,20.0,4304.0,66.12,18.47,4.48,1.18,35524.0,26834.0,26834.0,0.38
1333,2014_15,Waldorf University,Forest City,IA,Bachelor's,NO,68.85,913.0,455.0,470.0,19.0,1356.0,67.33,17.33,7.67,0.74,31369.0,20316.0,20316.0,0.33
1334,2014_15,Wartburg College,Waverly,IA,Bachelor's,NO,78.83,1100.0,490.0,555.0,24.0,1614.0,78.0,4.96,2.6,1.12,45305.0,36120.0,36120.0,0.71
1338,2014_15,William Penn University,Oskaloosa,IA,Bachelor's,NO,59.59,,,,,1531.0,61.92,18.03,8.43,1.31,34095.0,23480.0,23480.0,0.35
1340,2014_15,Baker University,Baldwin City,KS,Bachelor's,NO,69.53,1059.0,478.0,505.0,23.0,1649.0,71.07,10.13,5.88,1.03,39122.0,26370.0,26370.0,0.58
1342,2014_15,Benedictine College,Atchison,KS,Bachelor's,NO,97.78,1120.0,565.0,530.0,25.0,1836.0,78.7,3.7,5.66,1.03,37663.0,25100.0,25100.0,0.6
1343,2014_15,Bethany College,Lindsborg,KS,Bachelor's,NO,97.45,969.0,435.0,470.0,21.0,637.0,62.17,16.48,16.33,0.94,35133.0,24390.0,24390.0,0.37
1344,2014_15,Bethel College-North Newton,North Newton,KS,Bachelor's,NO,49.1,1000.0,408.0,450.0,22.0,483.0,70.6,14.7,9.73,0.41,35106.0,24200.0,24200.0,0.58
1350,2014_15,Central Christian College of Kansas,McPherson,KS,Bachelor's,NO,49.63,966.0,445.0,445.0,21.0,985.0,42.94,20.81,10.66,1.12,24696.0,16204.0,16204.0,0.39
1358,2014_15,Emporia State University,Emporia,KS,Bachelor's,NO,76.49,1009.0,448.0,508.0,22.0,3777.0,70.82,5.59,6.46,0.71,16205.0,5746.0,17896.0,0.39
1360,2014_15,Fort Hays State University,Hays,KS,Bachelor's,NO,87.89,,,,,11298.0,55.93,3.64,6.51,0.89,15567.0,4469.0,13159.0,0.43
1361,2014_15,Barclay College,Haviland,KS,Bachelor's,NO,53.57,,,,,228.0,74.56,10.96,5.7,0.44,25790.0,14290.0,14290.0,0.47
1362,2014_15,Friends University,Wichita,KS,Bachelor's,NO,61.38,1029.0,505.0,520.0,22.0,1339.0,70.43,9.86,3.96,2.09,31952.0,24630.0,24630.0,0.34
1375,2014_15,University of Kansas,Lawrence,KS,Bachelor's,NO,91.42,1145.0,,,25.0,18802.0,73.49,4.7,6.86,4.16,23049.0,10448.0,25731.0,0.6
1376,2014_15,Newman University,Wichita,KS,Bachelor's,NO,52.81,1076.0,500.0,490.0,24.0,1182.0,66.41,4.99,13.96,4.15,31874.0,24800.0,24800.0,0.48
1378,2014_15,Kansas State University,Manhattan,KS,Bachelor's,NO,94.93,,,,,19727.0,77.83,3.93,6.1,1.29,20722.0,9034.0,22624.0,0.59
1379,2014_15,Kansas Wesleyan University,Salina,KS,Bachelor's,NO,61.47,1059.0,490.0,520.0,23.0,643.0,73.72,6.07,13.06,0.78,36002.0,25200.0,25200.0,0.33
1384,2014_15,Manhattan Christian College,Manhattan,KS,Bachelor's,NO,59.09,1030.0,,,22.0,289.0,78.55,2.77,2.77,0.0,26300.0,13642.0,13642.0,0.45
1385,2014_15,McPherson College,McPherson,KS,Bachelor's,NO,99.28,1005.0,475.0,510.0,22.0,619.0,67.37,13.25,11.79,0.65,35312.0,24035.0,24035.0,0.48
1386,2014_15,MidAmerica Nazarene University,Olathe,KS,Bachelor's,NO,68.99,1010.0,435.0,430.0,22.0,1322.0,61.04,11.95,6.66,1.36,33252.0,24250.0,24250.0,0.5
1390,2014_15,Ottawa University-Ottawa,Ottawa,KS,Bachelor's,NO,64.95,,,,,587.0,64.4,11.24,6.64,0.17,36243.0,25154.0,25154.0,0.31
1391,2014_15,Ottawa University-Kansas City,Overland Park,KS,Bachelor's,NO,,,,,,252.0,77.38,7.54,4.37,3.17,,11670.0,11670.0,
1392,2014_15,Pittsburg State University,Pittsburg,KS,Bachelor's,NO,79.19,1010.0,,,22.0,5842.0,80.76,4.21,4.69,0.8,15931.0,6230.0,16336.0,0.5
1394,2014_15,University of Saint Mary,Leavenworth,KS,Bachelor's,NO,47.5,1002.0,480.0,473.0,22.0,819.0,61.78,9.89,11.36,1.22,33706.0,24450.0,24450.0,0.35
1398,2014_15,Southwestern College,Winfield,KS,Bachelor's,NO,87.93,1007.0,435.0,470.0,22.0,1288.0,61.65,9.7,7.61,1.16,37517.0,24835.0,24835.0,0.54
1399,2014_15,Sterling College,Sterling,KS,Bachelor's,NO,44.37,978.0,465.0,465.0,21.0,701.0,68.9,11.13,9.42,0.0,30471.0,21950.0,21950.0,0.39
1400,2014_15,Tabor College,Hillsboro,KS,Bachelor's,NO,85.68,1037.0,485.0,500.0,23.0,708.0,67.8,8.62,11.58,0.71,36750.0,23900.0,23900.0,0.48
1401,2014_15,Washburn University,Topeka,KS,Bachelor's,NO,,,,,,5031.0,63.39,5.53,7.51,0.93,16512.0,6038.0,13526.0,0.34
1403,2014_15,Wichita State University,Wichita,KS,Bachelor's,NO,95.53,,,,,11289.0,63.69,6.07,10.01,7.0,15367.0,7265.0,15299.0,0.44
1405,2014_15,Alice Lloyd College,Pippa Passes,KY,Bachelor's,NO,36.17,1008.0,455.0,485.0,22.0,657.0,96.96,0.61,0.3,0.0,21391.0,10980.0,10980.0,0.51
1406,2014_15,Asbury University,Wilmore,KY,Bachelor's,NO,68.7,1135.0,559.0,551.0,25.0,1499.0,80.52,3.8,2.07,0.87,34962.0,26868.0,26868.0,0.68
1410,2014_15,Bellarmine University,Louisville,KY,Bachelor's,NO,83.4,1120.0,550.0,545.0,25.0,2499.0,84.47,3.96,2.88,2.08,49508.0,36290.0,36290.0,0.68
1411,2014_15,Berea College,Berea,KY,Bachelor's,NO,33.66,1125.0,552.0,572.0,25.0,1577.0,62.78,15.35,5.9,1.59,31870.0,24270.0,24270.0,0.62
1414,2014_15,Brescia University,Owensboro,KY,Bachelor's,NO,49.27,1039.0,460.0,490.0,23.0,1003.0,66.9,13.26,6.08,0.2,27812.0,19990.0,19990.0,0.26
1415,2014_15,Campbellsville University,Campbellsville,KY,Bachelor's,NO,72.72,964.0,455.0,454.0,21.0,2119.0,72.82,14.02,2.03,0.24,32456.0,22842.0,22842.0,0.39
1417,2014_15,Centre College,Danville,KY,Bachelor's,NO,71.57,1263.0,605.0,620.0,29.0,1379.0,80.42,4.64,2.32,3.34,47897.0,37100.0,37100.0,0.82
1418,2014_15,Clear Creek Baptist Bible College,Pineville,KY,Bachelor's,NO,,,,,,140.0,95.71,0.71,0.71,1.43,14528.0,6724.0,6724.0,0.62
1422,2014_15,University of the Cumberlands,Williamsburg,KY,Bachelor's,NO,66.28,1038.0,480.0,495.0,23.0,1844.0,77.06,7.38,2.01,0.16,33107.0,20000.0,20000.0,0.36
1423,2014_15,Eastern Kentucky University,Richmond,KY,Bachelor's,NO,73.87,1008.0,490.0,490.0,22.0,13323.0,84.69,6.22,2.06,0.89,18181.0,7920.0,17448.0,0.42
1426,2014_15,Georgetown College,Georgetown,KY,Bachelor's,NO,88.75,1102.0,508.0,530.0,24.0,972.0,79.63,8.85,3.29,0.62,43776.0,32960.0,32960.0,0.55
1437,2014_15,Kentucky Mountain Bible College,Jackson,KY,Bachelor's,NO,54.0,1010.0,,,22.0,67.0,91.04,0.0,0.0,0.0,16401.0,7290.0,7290.0,0.53
1438,2014_15,Kentucky State University,Frankfort,KY,Bachelor's,NO,47.69,883.0,420.0,410.0,19.0,1627.0,25.32,57.84,1.66,0.49,17231.0,7404.0,17214.0,0.2
1439,2014_15,Kentucky Wesleyan College,Owensboro,KY,Bachelor's,NO,60.72,1021.0,469.0,493.0,22.0,691.0,68.45,14.76,1.74,0.43,31040.0,22230.0,22230.0,0.41
1440,2014_15,University of Kentucky,Lexington,KY,Bachelor's,NO,72.21,1142.0,555.0,575.0,25.0,21725.0,76.81,7.68,3.82,2.54,23162.0,10616.0,22888.0,0.61
1441,2014_15,Kentucky Christian University,Grayson,KY,Bachelor's,NO,47.74,966.0,485.0,460.0,21.0,547.0,63.44,9.87,1.28,0.73,29825.0,16830.0,16830.0,0.34
1443,2014_15,Lindsey Wilson College,Columbia,KY,Bachelor's,NO,,,,,,2092.0,68.21,9.66,1.1,0.53,34602.0,22550.0,22550.0,0.35
1445,2014_15,University of Louisville,Louisville,KY,Bachelor's,NO,73.86,1144.0,560.0,570.0,25.0,15038.0,76.3,10.97,3.96,3.23,22389.0,10432.0,24320.0,0.54
1449,2014_15,Midway University,Midway,KY,Bachelor's,NO,58.22,,,,,1038.0,77.46,8.38,3.95,0.58,34189.0,22300.0,22300.0,0.43
1450,2014_15,Morehead State University,Morehead,KY,Bachelor's,NO,84.43,1029.0,493.0,505.0,22.0,7212.0,90.27,4.09,1.34,0.31,18191.0,7866.0,19666.0,0.43
1451,2014_15,Murray State University,Murray,KY,Bachelor's,NO,79.96,1064.0,490.0,510.0,23.0,8126.0,81.92,7.65,1.83,0.73,16825.0,7392.0,20112.0,0.52
1453,2014_15,Northern Kentucky University,Highland Heights,KY,Bachelor's,NO,90.72,1046.0,505.0,505.0,23.0,11654.0,82.18,7.25,2.68,0.99,15159.0,8856.0,17328.0,0.36
1458,2014_15,University of Pikeville,Pikeville,KY,Bachelor's,NO,100.0,966.0,430.0,455.0,21.0,1329.0,82.47,11.96,1.73,0.45,32707.0,18290.0,18290.0,0.4
1462,2014_15,Saint Catharine College,Saint Catharine,KY,Bachelor's,NO,,,,,,592.0,78.04,10.81,5.57,0.34,34371.0,18926.0,18926.0,0.31
1469,2014_15,The Southern Baptist Theological Seminary,Louisville,KY,Bachelor's,NO,64.89,,,,,685.0,87.59,2.48,2.77,3.8,,16292.0,16292.0,0.43
1470,2014_15,Spalding University,Louisville,KY,Bachelor's,NO,45.71,967.0,490.0,440.0,21.0,1227.0,66.5,21.27,4.16,1.14,32509.0,22950.0,22950.0,0.38
1473,2014_15,Thomas More University,Crestview Hills,KY,Bachelor's,NO,93.28,982.0,465.0,475.0,21.0,1243.0,73.77,7.56,1.53,0.64,37459.0,28743.0,28743.0,0.46
1474,2014_15,Transylvania University,Lexington,KY,Bachelor's,NO,82.62,1230.0,575.0,595.0,28.0,1014.0,80.28,3.06,4.54,1.97,43304.0,33360.0,33360.0,0.7
1476,2014_15,Union College,Barbourville,KY,Bachelor's,NO,75.23,970.0,,,21.0,833.0,76.23,10.32,2.04,0.72,31709.0,22980.0,22980.0,0.32
1477,2014_15,Western Kentucky University,Bowling Green,KY,Bachelor's,NO,93.32,1047.0,500.0,505.0,23.0,15388.0,76.24,10.49,2.58,0.95,17493.0,9140.0,23352.0,0.44
1487,2014_15,Centenary College of Louisiana,Shreveport,LA,Bachelor's,NO,65.67,1109.0,530.0,520.0,25.0,548.0,68.07,15.33,6.02,3.47,44596.0,33500.0,33500.0,0.52
1495,2014_15,Dillard University,New Orleans,LA,Bachelor's,NO,40.59,886.0,440.0,430.0,19.0,1200.0,0.33,92.33,0.5,0.0,26606.0,16252.0,16252.0,0.36
1497,2014_15,Grambling State University,Grambling,LA,Bachelor's,NO,43.95,868.0,420.0,440.0,18.0,3520.0,1.48,90.68,0.94,0.2,21692.0,6525.0,15744.0,0.3
1502,2014_15,Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,Bachelor's,NO,,,,,,911.0,73.98,12.07,6.04,6.81,,,,
1503,2014_15,Louisiana State University-Alexandria,Alexandria,LA,Bachelor's,NO,54.55,987.0,455.0,485.0,21.0,2244.0,71.7,17.02,4.68,1.25,15182.0,6009.0,12868.0,0.21
1504,2014_15,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,Bachelor's,NO,76.63,1161.0,550.0,570.0,26.0,24452.0,74.15,11.45,5.72,3.84,21846.0,8750.0,26467.0,0.67
1506,2014_15,Louisiana State University-Shreveport,Shreveport,LA,Bachelor's,NO,76.67,1050.0,,490.0,23.0,2640.0,59.17,22.58,4.09,1.86,15753.0,6168.0,6168.0,0.31
1510,2014_15,Louisiana College,Pineville,LA,Bachelor's,NO,61.06,990.0,,,21.0,957.0,66.14,21.94,2.61,0.73,22060.0,14570.0,14570.0,0.47
1512,2014_15,Louisiana Tech University,Ruston,LA,Bachelor's,NO,65.03,1104.0,520.0,550.0,24.0,7272.0,70.5,14.32,1.22,0.99,17862.0,8052.0,22635.0,0.52
1513,2014_15,Loyola University New Orleans,New Orleans,LA,Bachelor's,NO,90.25,1135.0,575.0,545.0,25.0,2734.0,50.95,16.13,15.95,3.62,49791.0,36630.0,36630.0,0.62
1514,2014_15,McNeese State University,Lake Charles,LA,Bachelor's,NO,75.27,1030.0,495.0,540.0,22.0,6597.0,70.38,18.51,2.55,1.53,15951.0,6334.0,17404.0,0.41
1515,2014_15,University of New Orleans,New Orleans,LA,Bachelor's,NO,43.57,1082.0,565.0,585.0,23.0,6742.0,55.31,15.93,10.23,8.37,16889.0,7392.0,21002.0,0.34
1517,2014_15,Nicholls State University,Thibodaux,LA,Bachelor's,NO,88.37,1031.0,500.0,555.0,22.0,5513.0,67.39,20.1,3.34,1.18,16954.0,7234.0,17481.0,0.4
1518,2014_15,University of Louisiana at Monroe,Monroe,LA,Bachelor's,NO,77.22,1030.0,,555.0,22.0,5799.0,62.84,25.99,2.35,1.69,16310.0,6963.0,19121.0,0.4
1521,2014_15,Northwestern State University of Louisiana,Natchitoches,LA,Bachelor's,NO,72.98,1027.0,490.0,500.0,22.0,6828.0,55.13,30.11,5.02,0.66,17659.0,6863.0,17651.0,0.38
1522,2014_15,University of Holy Cross,New Orleans,LA,Bachelor's,NO,56.18,,,,,846.0,50.71,24.59,7.09,4.61,15775.0,10310.0,10310.0,0.29
1529,2014_15,Saint Joseph Seminary College,St. Benedict,LA,Bachelor's,NO,,,,,,126.0,65.87,1.59,22.22,7.94,32125.0,16598.0,16598.0,1.0
