,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1301,2016_17,Ottawa University-Ottawa,Ottawa,KS,Bachelor's,NO,50.07,,,,,643.0,66.87,11.82,5.29,0.47,39744.0,27096.0,27096.0,0.31
1302,2016_17,Ottawa University-Kansas City,Overland Park,KS,Bachelor's,NO,,,,,,358.0,75.7,10.89,0.0,3.63,,,,
1303,2016_17,Pittsburg State University,Pittsburg,KS,Bachelor's,NO,87.34,1010.0,,,22.0,5536.0,78.9,3.88,5.49,0.9,17292.0,6910.0,17662.0,0.49
1305,2016_17,University of Saint Mary,Leavenworth,KS,Bachelor's,NO,49.44,1005.0,485.0,495.0,22.0,765.0,57.52,9.15,19.74,1.18,36744.0,26650.0,26650.0,0.34
1308,2016_17,Southwestern College,Winfield,KS,Bachelor's,NO,92.15,959.0,450.0,470.0,21.0,1168.0,45.72,10.53,7.53,1.2,39130.0,27250.0,27250.0,0.38
1309,2016_17,Sterling College,Sterling,KS,Bachelor's,NO,37.37,967.0,465.0,490.0,21.0,624.0,70.03,11.86,12.98,1.12,33742.0,24250.0,24250.0,0.45
1310,2016_17,Tabor College,Hillsboro,KS,Bachelor's,NO,55.94,971.0,450.0,470.0,21.0,642.0,65.73,9.5,13.24,0.47,39751.0,26590.0,26590.0,0.48
1311,2016_17,Washburn University,Topeka,KS,Bachelor's,NO,,,,,,4967.0,63.82,5.66,10.01,1.01,17139.0,7754.0,17386.0,0.34
1313,2016_17,Wichita State University,Wichita,KS,Bachelor's,NO,86.23,1102.0,530.0,538.0,24.0,11030.0,61.35,5.79,11.35,7.34,18646.0,7895.0,16634.0,0.46
1315,2016_17,Alice Lloyd College,Pippa Passes,KY,Bachelor's,NO,22.19,1010.0,515.0,505.0,22.0,605.0,96.2,0.83,0.99,0.0,23289.0,11550.0,11550.0,0.31
1316,2016_17,Asbury University,Wilmore,KY,Bachelor's,NO,69.6,1124.0,570.0,550.0,25.0,1498.0,81.58,3.54,3.54,1.2,37339.0,28630.0,28630.0,0.64
1320,2016_17,Bellarmine University,Louisville,KY,Bachelor's,NO,82.45,1118.0,540.0,530.0,25.0,2569.0,81.82,4.24,3.35,2.22,51346.0,39750.0,39750.0,0.64
1321,2016_17,Berea College,Berea,KY,Bachelor's,NO,32.8,1123.0,545.0,565.0,25.0,1612.0,58.62,14.89,9.49,1.92,34980.0,25470.0,25470.0,0.63
1324,2016_17,Brescia University,Owensboro,KY,Bachelor's,NO,46.77,1060.0,460.0,490.0,23.0,956.0,64.64,14.54,6.59,0.63,30236.0,21100.0,21100.0,0.27
1325,2016_17,Campbellsville University,Campbellsville,KY,Bachelor's,NO,69.79,1008.0,465.0,521.0,22.0,2224.0,71.13,12.68,2.83,0.27,34874.0,24596.0,24596.0,0.36
1327,2016_17,Centre College,Danville,KY,Bachelor's,NO,74.26,1266.0,585.0,625.0,29.0,1422.0,75.53,5.06,4.15,4.57,50976.0,39300.0,39300.0,0.86
1328,2016_17,Clear Creek Baptist Bible College,Pineville,KY,Bachelor's,NO,,,,,,117.0,89.74,1.71,0.85,0.85,15407.0,7220.0,7220.0,0.56
1331,2016_17,University of the Cumberlands,Williamsburg,KY,Bachelor's,NO,70.87,1025.0,480.0,500.0,22.0,1935.0,77.0,5.32,1.96,0.41,36305.0,23000.0,23000.0,0.43
