,Year,University Name,University City,University State,Most Awarded Decree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1826,2018_19,Lex La-Ray Technical Center,Lexington,MO,Certificate,NO,65.22,,,,,32.0,90.63,6.25,0.0,0.0,,,,
1827,2018_19,Lincoln University,Jefferson City,MO,Bachelor's,NO,,,,,,1911.0,29.62,57.3,2.51,0.52,16692.0,7632.0,14172.0,0.21
1828,2018_19,Lindenwood University,Saint Charles,MO,Bachelor's,NO,88.11,1117.0,540.0,540.0,23.0,6458.0,55.54,13.22,4.68,0.85,30117.0,17600.0,17600.0,0.5
1829,2018_19,State Technical College of Missouri,Linn,MO,Associate's,NO,,,,,,1339.0,93.5,1.19,2.02,0.45,15581.0,6120.0,11160.0,
1830,2018_19,Logan University,Chesterfield,MO,Bachelor's,NO,88.37,,,,,179.0,58.1,12.29,2.79,2.79,18068.0,6800.0,6800.0,
1831,2018_19,Metropolitan Community College-Kansas City,Kansas City,MO,Associate's,NO,,,,,,13533.0,56.68,16.69,11.53,2.9,11272.0,3120.0,7140.0,
1832,2018_19,Lutheran School of Nursing,Saint Louis,MO,Certificate,NO,100.0,,,,,161.0,67.08,25.47,0.62,2.48,30769.0,9884.0,9884.0,
1833,2018_19,Maryville University of Saint Louis,Saint Louis,MO,Bachelor's,NO,94.5,1146.0,570.0,560.0,23.0,3609.0,70.02,9.86,5.1,3.38,45050.0,28470.0,28470.0,0.72
1834,2018_19,Merrell University of Beauty Arts and Science,Jefferson City,MO,Certificate,NO,,,,,,58.0,82.76,12.07,1.72,0.0,,,,
1835,2018_19,Metro Business College-Cape Girardeau,Cape Girardeau,MO,Associate's,NO,,,,,,45.0,71.11,26.67,2.22,0.0,15435.0,11375.0,11375.0,
1836,2018_19,Midwest Institute,Fenton,MO,Certificate,NO,100.0,,,,,275.0,56.36,23.64,0.73,0.0,,,,
1837,2018_19,Midwestern Baptist Theological Seminary,Kansas City,MO,Bachelor's,NO,95.61,1118.0,523.0,490.0,23.0,588.0,76.19,6.63,4.59,2.89,20411.0,7920.0,7920.0,0.1
1838,2018_19,Mineral Area College,Park Hills,MO,Associate's,NO,,,,,,1873.0,89.59,1.82,2.35,0.53,13677.0,3670.0,6430.0,
1839,2018_19,Missouri Baptist University,Saint Louis,MO,Bachelor's,NO,52.29,1074.0,510.0,510.0,21.0,1818.0,76.79,12.38,0.99,1.32,38748.0,27124.0,27124.0,0.36
1840,2018_19,Missouri Southern State University,Joplin,MO,Bachelor's,NO,95.62,1085.0,,,21.0,5122.0,73.17,6.48,7.44,2.42,15375.0,6503.0,13005.0,0.33
1841,2018_19,Missouri Valley College,Marshall,MO,Bachelor's,NO,59.18,997.0,495.0,495.0,19.0,1440.0,43.68,18.19,12.08,0.63,33313.0,20600.0,20600.0,0.23
1842,2018_19,Missouri Western State University,Saint Joseph,MO,Bachelor's,NO,,,,,,4119.0,75.09,11.12,1.7,1.51,17723.0,7960.0,13835.0,0.34
1843,2018_19,University of Missouri-Columbia,Columbia,MO,Bachelor's,NO,77.84,1244.0,600.0,590.0,26.0,22030.0,77.84,7.65,4.45,2.54,26259.0,9972.0,27042.0,0.69
1844,2018_19,University of Missouri-Kansas City,Kansas City,MO,Bachelor's,NO,56.48,1204.0,540.0,645.0,25.0,7681.0,57.06,12.0,9.58,8.49,20934.0,8178.0,20207.0,0.49
1845,2018_19,Missouri University of Science and Technology,Rolla,MO,Bachelor's,NO,84.16,1313.0,635.0,649.0,28.0,6785.0,81.49,3.02,3.83,3.71,22012.0,9440.0,26461.0,0.63
1846,2018_19,University of Missouri-St Louis,Saint Louis,MO,Bachelor's,NO,72.55,1179.0,560.0,565.0,24.0,7136.0,64.2,16.76,3.35,5.0,22810.0,9792.0,26040.0,0.52
1847,2018_19,Moberly Area Community College,Moberly,MO,Associate's,NO,,,,,,3536.0,76.36,10.15,3.93,2.12,11973.0,3390.0,6840.0,
1848,2018_19,Hillyard Technical Center,Saint Joseph,MO,Certificate,NO,73.47,,,,,90.0,96.67,2.22,0.0,0.0,,,,
1849,2018_19,Nazarene Theological Seminary,Kansas City,MO,Graduate,NO,,,,,,,,,,,,,,
1850,2018_19,Neosho Beauty College,Neosho,MO,Certificate,NO,,,,,,33.0,96.97,0.0,3.03,0.0,,,,
1851,2018_19,Truman State University,Kirksville,MO,Bachelor's,NO,65.3,1279.0,610.0,609.0,27.0,4906.0,77.78,4.08,3.2,2.67,20745.0,7749.0,14601.0,0.72
1852,2018_19,Northwest Missouri State University,Maryville,MO,Bachelor's,NO,79.15,1104.0,536.0,549.0,22.0,5193.0,81.34,5.64,4.08,0.77,19346.0,7844.0,13166.0,0.49
1853,2018_19,Ozark Christian College,Joplin,MO,Bachelor's,NO,57.55,1163.0,570.0,540.0,24.0,600.0,83.33,2.0,5.33,0.5,22324.0,12620.0,12620.0,0.52
1854,2018_19,College of the Ozarks,Point Lookout,MO,Bachelor's,NO,11.52,1174.0,645.0,602.0,24.0,1548.0,88.7,0.58,2.58,0.84,29476.0,19360.0,19360.0,0.66
1855,2018_19,Park University,Parkville,MO,Bachelor's,NO,,,,,,9191.0,45.53,19.51,20.73,2.17,21665.0,11572.0,11572.0,0.32
1856,2018_19,Stevens-The Institute of Business & Arts,Saint Louis,MO,Bachelor's,NO,100.0,,,,,121.0,28.93,65.29,3.31,0.0,19956.0,12960.0,12960.0,0.5
1857,2018_19,Poplar Bluff Technical Career Center,Poplar Bluff,MO,Certificate,NO,,,,,,21.0,95.24,4.76,0.0,0.0,,,,
1858,2018_19,Ranken Technical College,Saint Louis,MO,Associate's,NO,,,,,,1698.0,68.2,16.02,2.3,1.18,22198.0,14457.0,14457.0,0.58
1859,2018_19,Research College of Nursing,Kansas City,MO,Bachelor's,NO,,,,,,201.0,83.08,4.98,1.99,1.0,,,,
1860,2018_19,Rockhurst University,Kansas City,MO,Bachelor's,NO,66.12,1204.0,608.0,575.0,25.0,1579.0,71.31,6.02,10.2,3.17,50180.0,37590.0,37590.0,0.75
1861,2018_19,Rolla Technical Institute/Center,Rolla,MO,Certificate,NO,72.06,,,,,108.0,90.74,3.7,3.7,0.0,,,,
1862,2018_19,Saint Louis University,Saint Louis,MO,Bachelor's,NO,57.53,1304.0,635.0,640.0,28.0,6917.0,67.8,5.59,5.96,10.81,56344.0,43884.0,43884.0,0.77
1863,2018_19,Salem College of Hairstyling,Rolla,MO,Certificate,NO,,,,,,33.0,93.94,0.0,6.06,0.0,,,,
1864,2018_19,American College of Hair Design Inc,Sedalia,MO,Certificate,NO,,,,,,28.0,82.14,10.71,0.0,0.0,,,,
1865,2018_19,Sikeston Career and Technology Center,Sikeston,MO,Certificate,NO,,,,,,43.0,79.07,18.6,0.0,2.33,,,,
1866,2018_19,Saint Louis Christian College,Florissant,MO,Bachelor's,NO,33.33,1061.0,520.0,510.0,21.0,70.0,61.43,32.86,0.0,1.43,20235.0,11560.0,11560.0,0.65
1867,2018_19,University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,Bachelor's,NO,70.83,1247.0,587.0,624.0,26.0,379.0,66.23,8.18,2.9,14.78,44898.0,29981.0,29981.0,0.85
1868,2018_19,Saint Louis Community College,Bridgeton,MO,Associate's,NO,,,,,,15918.0,51.38,33.24,3.44,3.36,12200.0,3315.0,6465.0,
1869,2018_19,Saint Paul School of Theology,Leawood,KS,Graduate,NO,,,,,,,,,,,,,,
1870,2018_19,Southwest Baptist University,Bolivar,MO,Bachelor's,NO,70.4,1100.0,555.0,547.0,22.0,2126.0,83.11,5.08,3.15,0.75,33935.0,24078.0,24078.0,0.48
1871,2018_19,Missouri State University-West Plains,West Plains,MO,Associate's,NO,,,,,,1144.0,83.65,5.07,2.53,0.44,13155.0,4305.0,8355.0,
1872,2018_19,Saint Luke's College of Health Sciences,Kansas City,MO,Bachelor's,NO,,,,,,513.0,52.05,10.72,4.29,12.09,,,,
1873,2018_19,St Louis College of Health Careers-St Louis,Saint Louis,MO,Certificate,NO,,,,,,103.0,1.94,92.23,0.97,0.0,,,,
1874,2018_19,State Fair Community College,Sedalia,MO,Associate's,NO,,,,,,3495.0,82.2,4.66,7.07,0.77,9836.0,3000.0,5760.0,
1875,2018_19,Stephens College,Columbia,MO,Bachelor's,NO,58.86,1138.0,575.0,515.0,23.0,548.0,66.79,14.23,5.84,1.09,44995.0,30950.0,30950.0,0.5
1876,2018_19,Southeast Missouri State University,Cape Girardeau,MO,Bachelor's,NO,82.93,1135.0,565.0,570.0,23.0,8379.0,79.89,9.24,2.39,1.13,19261.0,7418.0,13155.0,0.49
1877,2018_19,Missouri State University-Springfield,Springfield,MO,Bachelor's,NO,84.97,1169.0,565.0,554.0,24.0,16948.0,81.83,4.52,3.77,1.43,21062.0,7376.0,15326.0,0.54
1878,2018_19,Three Rivers College,Poplar Bluff,MO,Certificate,NO,,,,,,2442.0,77.6,10.52,2.13,0.45,14910.0,3960.0,6540.0,
1879,2018_19,North Central Missouri College,Trenton,MO,Associate's,NO,,,,,,1187.0,86.27,1.94,5.56,0.17,14055.0,3600.0,6300.0,
1880,2018_19,Kansas City University of Medicine and Biosciences,Kansas City,MO,Graduate,NO,,,,,,,,,,,,,,
1881,2018_19,Washington University in St Louis,Saint Louis,MO,Bachelor's,NO,15.03,1506.0,740.0,780.0,34.0,7356.0,50.98,9.01,9.35,16.42,71975.0,53399.0,53399.0,0.95
1882,2018_19,Webster University,Saint Louis,MO,Bachelor's,NO,56.14,1181.0,574.0,552.0,24.0,2958.0,62.27,15.18,6.05,2.6,42492.0,27900.0,27900.0,0.59
1883,2018_19,Westminster College,Fulton,MO,Bachelor's,NO,94.46,1133.0,560.0,550.0,23.0,712.0,71.63,7.72,2.53,0.98,39961.0,27600.0,27600.0,0.58
1884,2018_19,William Jewell College,Liberty,MO,Bachelor's,NO,45.97,1228.0,575.0,575.0,26.0,803.0,79.45,4.98,5.85,1.25,47893.0,34400.0,34400.0,0.65
1885,2018_19,William Woods University,Fulton,MO,Bachelor's,NO,63.91,1130.0,557.0,554.0,23.0,889.0,81.33,3.94,3.6,0.34,37795.0,24110.0,24110.0,0.58
1886,2018_19,Academy of Cosmetology Inc,Bozeman,MT,Certificate,NO,,,,,,35.0,97.14,0.0,0.0,0.0,,,,
1887,2018_19,Blackfeet Community College,Browning,MT,Certificate,NO,,,,,,290.0,7.24,0.0,0.0,0.0,13528.0,3370.0,3370.0,
1888,2018_19,Butte Academy of Beauty Culture,Butte,MT,Certificate,NO,,,,,,21.0,80.95,0.0,0.0,9.52,,,,
1889,2018_19,Highlands College of Montana Tech,Butte,MT,Certificate,NO,,,,,,413.0,85.96,0.48,1.94,0.97,13640.0,3569.0,9371.0,
1890,2018_19,Crevier's Academy of Cosmetology Arts,Kalispell,MT,Certificate,NO,,,,,,80.0,91.25,0.0,2.5,1.25,,,,
1891,2018_19,Carroll College,Helena,MT,Bachelor's,NO,78.33,1199.0,590.0,580.0,25.0,1210.0,81.65,0.66,4.46,1.49,48487.0,35486.0,35486.0,0.69
1892,2018_19,Dawson Community College,Glendive,MT,Associate's,NO,,,,,,224.0,71.43,9.38,3.13,0.0,12824.0,3720.0,7770.0,
1893,2018_19,Chief Dull Knife College,Lame Deer,MT,Associate's,NO,,,,,,163.0,6.13,0.0,0.0,0.0,9960.0,2260.0,2260.0,
1894,2018_19,Montana State University Billings,Billings,MT,Bachelor's,NO,,,,,,3331.0,80.67,1.11,6.12,0.78,16695.0,5928.0,19246.0,0.29
1895,2018_19,Flathead Valley Community College,Kalispell,MT,Associate's,NO,,,,,,1455.0,81.79,0.55,0.69,0.69,13904.0,4808.0,11948.0,
1896,2018_19,Aaniiih Nakoda College,Harlem,MT,Associate's,NO,,,,,,113.0,10.62,0.0,0.88,0.0,11995.0,2410.0,2410.0,
1897,2018_19,Fort Peck Community College,Poplar,MT,Associate's,NO,,,,,,237.0,9.28,1.27,0.42,0.84,8080.0,2250.0,2250.0,
1898,2018_19,Great Falls College Montana State University,Great Falls,MT,Associate's,NO,,,,,,1109.0,77.82,1.53,5.41,0.99,13152.0,3386.0,10278.0,
1899,2018_19,University of Providence,Great Falls,MT,Bachelor's,NO,56.36,,,,,876.0,76.14,4.45,4.22,3.42,36439.0,25168.0,25168.0,0.46
1900,2018_19,Helena College University of Montana,Helena,MT,Associate's,NO,,,,,,854.0,91.69,0.35,1.05,0.59,14241.0,3359.0,9187.0,
1901,2018_19,Little Big Horn College,Crow Agency,MT,Associate's,NO,,,,,,255.0,0.78,0.0,1.18,0.0,10561.0,3200.0,3200.0,
1902,2018_19,Miles Community College,Miles City,MT,Associate's,NO,,,,,,404.0,82.43,2.23,3.22,0.5,12156.0,4230.0,8820.0,
1903,2018_19,Montana Technological University,Butte,MT,Bachelor's,NO,91.75,1199.0,565.0,605.0,25.0,1585.0,75.84,1.14,1.39,0.95,19400.0,7412.0,22575.0,0.52
1904,2018_19,Montana State University,Bozeman,MT,Bachelor's,NO,81.7,1205.0,605.0,600.0,25.0,14566.0,84.08,0.54,4.31,0.98,20464.0,7277.0,24993.0,0.57
1905,2018_19,The University of Montana,Missoula,MT,Bachelor's,NO,88.2,1150.0,585.0,565.0,23.0,8173.0,77.01,1.04,4.83,1.35,19110.0,7244.0,24959.0,0.46
1906,2018_19,Montana State University-Northern,Havre,MT,Bachelor's,NO,100.0,,,,,970.0,72.68,2.16,4.95,0.41,15744.0,5955.0,18665.0,0.35
1907,2018_19,Rocky Mountain College,Billings,MT,Bachelor's,NO,58.45,1119.0,540.0,543.0,23.0,879.0,78.16,2.96,5.69,0.46,38639.0,28572.0,28572.0,0.49
1908,2018_19,Salish Kootenai College,Pablo,MT,Associate's,NO,,,,,,672.0,21.58,0.45,1.93,0.15,12794.0,4220.0,11584.0,0.54
1909,2018_19,The University of Montana-Western,Dillon,MT,Bachelor's,NO,60.25,1031.0,535.0,495.0,20.0,1310.0,84.81,0.84,4.58,0.46,17665.0,5717.0,17179.0,0.45
1910,2018_19,La'James International College,Fremont,NE,Certificate,NO,,,,,,8.0,37.5,12.5,25.0,0.0,,,,
1911,2018_19,Bellevue University,Bellevue,NE,Bachelor's,NO,,,,,,6377.0,49.87,11.78,13.61,3.67,18574.0,7827.0,7827.0,0.0
1912,2018_19,Clarkson College,Omaha,NE,Bachelor's,NO,40.68,1035.0,,,20.0,646.0,74.61,5.26,8.98,3.41,28773.0,13392.0,13392.0,0.53
1913,2018_19,Bryan College of Health Sciences,Lincoln,NE,Bachelor's,NO,59.15,1100.0,,,22.0,566.0,88.87,1.94,1.59,3.53,26985.0,17282.0,17282.0,0.69
1914,2018_19,Central Community College,Grand Island,NE,Certificate,NO,,,,,,3809.0,69.78,3.1,24.94,1.02,11794.0,3000.0,4320.0,
1915,2018_19,Chadron State College,Chadron,NE,Bachelor's,NO,,,,,,1750.0,76.4,3.54,10.91,0.74,20303.0,7384.0,7414.0,0.43
1916,2018_19,College of Hair Design-Downtown,Lincoln,NE,Certificate,NO,,,,,,123.0,48.78,17.07,23.58,0.81,,,,
1917,2018_19,Concordia University-Nebraska,Seward,NE,Bachelor's,NO,67.91,1124.0,505.0,490.0,23.0,1268.0,73.5,2.13,5.6,0.95,42428.0,32220.0,32220.0,0.63
1918,2018_19,Creighton University,Omaha,NE,Bachelor's,NO,71.44,1276.0,625.0,625.0,27.0,4405.0,71.46,2.34,8.33,8.9,52931.0,39916.0,39916.0,0.81
1919,2018_19,Doane University,Crete,NE,Bachelor's,NO,68.27,,,,,1002.0,81.44,2.79,8.08,1.2,46710.0,33800.0,33800.0,0.65
1920,2018_19,Hastings College,Hastings,NE,Bachelor's,NO,64.2,1096.0,525.0,510.0,22.0,962.0,76.61,4.78,9.98,0.52,42551.0,30050.0,30050.0,0.53
1921,2018_19,CHI Health School of Radiologic Technology,Omaha,NE,Associate's,NO,,,,,,15.0,80.0,6.67,13.33,0.0,,,,
1922,2018_19,Joseph's College Cosmetology,Lincoln,NE,Certificate,NO,,,,,,163.0,65.64,3.07,20.25,2.45,,,,
1923,2018_19,University of Nebraska at Kearney,Kearney,NE,Bachelor's,NO,93.63,1131.0,515.0,513.0,23.0,4328.0,76.92,2.29,12.06,0.83,22469.0,7512.0,13742.0,0.58
1924,2018_19,Purdue University Global-Lincoln,Lincoln,NE,Bachelor's,NO,,,,,,248.0,67.34,4.44,7.66,1.21,,14343.0,14343.0,0.32
1925,2018_19,Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Bachelor's,NO,90.7,1140.0,,,23.0,775.0,82.71,3.74,5.68,2.45,30388.0,16308.0,16308.0,0.63
1926,2018_19,Metropolitan Community College Area,Omaha,NE,Associate's,NO,,,,,,7105.0,51.19,13.4,14.44,3.24,9102.0,3105.0,4545.0,
1927,2018_19,Mid-Plains Community College,North Platte,NE,Associate's,NO,,,,,,1151.0,78.89,2.69,9.64,0.43,10830.0,3210.0,4050.0,
1928,2018_19,Midland University,Fremont,NE,Bachelor's,NO,52.07,1054.0,508.0,505.0,21.0,1212.0,47.19,6.6,4.79,1.07,43340.0,32598.0,32598.0,0.44
1929,2018_19,Nebraska Christian College of Hope International University,Papillion,NE,Bachelor's,NO,33.54,981.0,445.0,465.0,19.0,129.0,59.69,10.85,16.28,2.33,29262.0,17665.0,17665.0,0.39
1930,2018_19,University of Nebraska at Omaha,Omaha,NE,Bachelor's,NO,81.68,1135.0,,,23.0,12230.0,65.41,6.38,13.78,4.0,18849.0,7790.0,20764.0,0.48
1931,2018_19,Purdue University Global-Omaha,Omaha,NE,Bachelor's,NO,,,,,,276.0,46.38,13.04,5.07,0.72,23502.0,14343.0,14343.0,0.29
1932,2018_19,Nebraska Indian Community College,Macy,NE,Associate's,NO,,,,,,124.0,0.81,0.0,1.61,0.0,20590.0,4080.0,4080.0,
1933,2018_19,University of Nebraska Medical Center,Omaha,NE,Bachelor's,NO,,,,,,844.0,86.61,1.3,6.64,2.01,,,,
1934,2018_19,Nebraska Wesleyan University,Lincoln,NE,Bachelor's,NO,72.08,1199.0,570.0,570.0,25.0,1839.0,80.86,2.94,6.85,2.01,45298.0,34202.0,34202.0,0.63
1935,2018_19,University of Nebraska-Lincoln,Lincoln,NE,Bachelor's,NO,79.61,1236.0,625.0,620.0,26.0,20592.0,74.42,2.7,6.6,2.89,23936.0,9242.0,25038.0,0.69
1936,2018_19,Northeast Community College,Norfolk,NE,Associate's,NO,,,,,,2664.0,75.3,1.65,14.9,0.53,12772.0,3480.0,4635.0,
1937,2018_19,Peru State College,Peru,NE,Bachelor's,NO,,,,,,1324.0,75.6,8.99,7.85,0.76,19904.0,7512.0,7512.0,0.35
1938,2018_19,Summit Christian College,Gering,NE,Associate's,NO,100.0,1035.0,,,20.0,23.0,86.96,0.0,4.35,0.0,12714.0,6726.0,6726.0,0.46
1939,2018_19,College of Saint Mary,Omaha,NE,Bachelor's,NO,52.1,,,,,810.0,69.01,8.27,11.85,2.84,29742.0,20350.0,20350.0,0.6
1940,2018_19,Southeast Community College Area,Lincoln,NE,Associate's,NO,,,,,,6057.0,76.41,5.5,9.2,4.0,11622.0,3128.0,3758.0,
1941,2018_19,Union College,Lincoln,NE,Bachelor's,NO,96.06,1079.0,550.0,505.0,21.0,696.0,50.14,7.9,22.41,6.32,34796.0,23780.0,23780.0,0.5
1942,2018_19,Nebraska College of Technical Agriculture,Curtis,NE,Associate's,NO,,,,,,281.0,92.88,0.0,1.42,0.36,16665.0,5228.0,5228.0,
1943,2018_19,Wayne State College,Wayne,NE,Bachelor's,NO,,,,,,2754.0,80.28,3.74,7.99,0.76,18288.0,7172.0,12602.0,0.43
1944,2018_19,Western Nebraska Community College,Scottsbluff,NE,Associate's,NO,,,,,,1134.0,60.76,3.44,23.37,1.23,11611.0,2820.0,2928.0,
1945,2018_19,York College,York,NE,Bachelor's,NO,50.33,1052.0,525.0,530.0,20.0,396.0,56.82,12.37,16.92,0.76,28204.0,19310.0,19310.0,0.51
1946,2018_19,Academy of Hair Design-Las Vegas,Las Vegas,NV,Certificate,NO,,,,,,225.0,35.11,12.44,27.11,8.89,,,,
1947,2018_19,Career College of Northern Nevada,Sparks,NV,Associate's,NO,,,,,,359.0,51.25,2.79,35.93,2.23,,,,
1948,2018_19,College of Southern Nevada,Las Vegas,NV,Associate's,NO,,,,,,29660.0,28.53,11.23,33.63,9.58,11923.0,3492.0,10371.0,0.09
1949,2018_19,The Art Institute of Las Vegas,Henderson,NV,Bachelor's,NO,,,,,,545.0,26.61,22.57,30.83,5.69,26536.0,17316.0,17316.0,0.24
1950,2018_19,Las Vegas College,Henderson,NV,Associate's,NO,,,,,,97.0,30.93,12.37,14.43,21.65,24689.0,13800.0,13800.0,
1951,2018_19,University of Nevada-Las Vegas,Las Vegas,NV,Bachelor's,NO,82.04,1113.0,570.0,565.0,22.0,24707.0,30.16,7.64,30.43,15.88,17582.0,7985.0,23132.0,0.43
1952,2018_19,University of Nevada-Reno,Reno,NV,Bachelor's,NO,88.15,1172.0,590.0,585.0,24.0,17513.0,56.83,3.24,21.14,8.17,21792.0,7599.0,22236.0,0.58
1953,2018_19,Great Basin College,Elko,NV,Certificate,NO,,,,,,1996.0,60.97,3.61,20.64,1.8,11610.0,3128.0,9876.0,0.36
1954,2018_19,Sierra Nevada University,Incline Village,NV,Bachelor's,NO,64.33,1085.0,575.0,530.0,21.0,397.0,77.83,3.53,4.03,2.27,48058.0,34241.0,34241.0,0.47
1955,2018_19,Truckee Meadows Community College,Reno,NV,Associate's,NO,,,,,,7611.0,50.36,2.73,33.46,5.72,12381.0,2963.0,9876.0,0.3
1956,2018_19,Western Nevada College,Carson City,NV,Associate's,NO,,,,,,2310.0,57.62,1.86,25.84,2.16,15174.0,3158.0,10071.0,0.25
1957,2018_19,Colby-Sawyer College,New London,NH,Bachelor's,NO,89.63,,,,,851.0,78.26,5.41,2.23,2.7,57350.0,42398.0,42398.0,0.61
1958,2018_19,Continental Academie of Hair Design-Hudson,Hudson,NH,Certificate,NO,,,,,,36.0,91.67,0.0,2.78,0.0,,,,
1959,2018_19,Dartmouth College,Hanover,NH,Bachelor's,NO,8.74,1488.0,735.0,755.0,33.0,4312.0,50.67,6.03,9.95,15.35,71827.0,55453.0,55453.0,0.95
1960,2018_19,Empire Beauty School-Laconia,Laconia,NH,Certificate,NO,,,,,,80.0,97.5,0.0,0.0,0.0,,,,
1961,2018_19,Empire Beauty School-Somersworth,Somersworth,NH,Certificate,NO,,,,,,173.0,93.06,0.0,1.16,1.73,,,,
1962,2018_19,Franklin Pierce University,Rindge,NH,Bachelor's,NO,66.11,1052.0,520.0,530.0,21.0,1627.0,72.77,8.3,7.68,2.64,51577.0,36900.0,36900.0,0.5
1963,2018_19,University of New Hampshire-Franklin Pierce School of Law,Concord,NH,Graduate,NO,,,,,,,,,,,,,,
1964,2018_19,Keene Beauty Academy,Keene,NH,Certificate,NO,,,,,,37.0,89.19,5.41,0.0,0.0,,,,
1965,2018_19,Magdalen College,Warner,NH,Bachelor's,NO,39.39,,,,,78.0,88.46,0.0,8.97,2.56,34956.0,24000.0,24000.0,0.69
1966,2018_19,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,Bedford,NH,Certificate,NO,,,,,,134.0,79.85,5.22,9.7,1.49,,,,
1967,2018_19,New England College,Henniker,NH,Bachelor's,NO,99.79,,,,,1684.0,51.31,24.17,8.19,1.84,52167.0,37914.0,37914.0,0.25
1968,2018_19,New England School of Hair Design,West Lebanon,NH,Certificate,NO,,,,,,25.0,96.0,0.0,0.0,0.0,,,,
1969,2018_19,Southern New Hampshire University,Manchester,NH,Bachelor's,NO,72.82,,,,,80170.0,61.11,16.09,10.4,1.64,49092.0,31136.0,31136.0,0.54
1970,2018_19,New Hampshire Institute for Therapeutic Arts,Hudson,NH,Certificate,NO,,,,,,25.0,100.0,0.0,0.0,0.0,,,,
1971,2018_19,University of New Hampshire-Main Campus,Durham,NH,Bachelor's,NO,83.52,1186.0,595.0,585.0,25.0,12668.0,82.43,1.11,3.43,2.64,32469.0,18499.0,33879.0,0.77
1972,2018_19,Keene State College,Keene,NH,Bachelor's,NO,81.36,1053.0,535.0,515.0,21.0,3416.0,84.54,1.67,4.27,1.26,26211.0,14212.0,23176.0,0.6
1973,2018_19,University of New Hampshire at Manchester,Manchester,NH,Bachelor's,NO,92.99,1114.0,560.0,550.0,24.0,703.0,70.98,2.42,7.11,5.55,20689.0,15265.0,30635.0,0.41
1974,2018_19,Plymouth State University,Plymouth,NH,Bachelor's,NO,82.4,,,,,4135.0,82.52,2.49,3.31,1.55,27109.0,14099.0,22769.0,0.53
1975,2018_19,NHTI-Concord's Community College,Concord,NH,Associate's,NO,,,,,,3104.0,80.83,4.25,4.03,1.55,19744.0,7680.0,16480.0,
1976,2018_19,White Mountains Community College,Berlin,NH,Associate's,NO,,,,,,617.0,92.22,0.0,0.81,0.0,18123.0,7970.0,16770.0,
1977,2018_19,River Valley Community College,Claremont,NH,Associate's,NO,,,,,,726.0,83.61,1.79,1.79,0.69,20883.0,7298.0,16098.0,
1978,2018_19,Lakes Region Community College,Laconia,NH,Associate's,NO,,,,,,646.0,69.66,0.93,1.7,0.31,20655.0,7168.0,15968.0,
1979,2018_19,Manchester Community College,Manchester,NH,Associate's,NO,,,,,,2241.0,72.47,4.69,4.55,3.75,17273.0,7520.0,16320.0,
1980,2018_19,Nashua Community College,Nashua,NH,Associate's,NO,,,,,,1385.0,75.67,3.75,12.56,1.88,17824.0,7616.0,16416.0,
1981,2018_19,Great Bay Community College,Portsmouth,NH,Associate's,NO,,,,,,1609.0,78.93,1.49,3.17,2.18,19234.0,7680.0,16480.0,
1982,2018_19,Paul Mitchell the School-Portsmouth,Portsmouth,NH,Certificate,NO,,,,,,50.0,98.0,0.0,2.0,0.0,,,,
1983,2018_19,Rivier University,Nashua,NH,Bachelor's,NO,72.61,,,,,1376.0,77.03,3.63,5.09,2.69,44453.0,32140.0,32140.0,0.51
1984,2018_19,Saint Anselm College,Manchester,NH,Bachelor's,NO,76.64,1223.0,615.0,600.0,27.0,2016.0,87.1,1.69,4.27,1.04,56405.0,41200.0,41200.0,0.77
1985,2018_19,St Joseph School of Nursing,Nashua,NH,Associate's,NO,,,,,,110.0,71.82,16.36,4.55,2.73,,22735.0,22735.0,
1986,2018_19,Granite State College,Concord,NH,Bachelor's,NO,,,,,,1628.0,82.92,3.01,3.99,1.11,16970.0,7761.0,8745.0,0.23
1987,2018_19,Thomas More College of Liberal Arts,Merrimack,NH,Bachelor's,NO,50.45,1180.0,650.0,530.0,,90.0,91.11,0.0,5.56,0.0,32900.0,21600.0,21600.0,0.3
1988,2018_19,Eastwick College-Hackensack,Hackensack,NJ,Certificate,NO,,,,,,376.0,17.82,33.51,44.68,2.66,33308.0,14832.0,14832.0,
1989,2018_19,Assumption College for Sisters,Denville,NJ,Associate's,NO,,,,,,42.0,14.29,0.0,2.38,35.71,,5716.0,5716.0,
1990,2018_19,Atlantic Cape Community College,Mays Landing,NJ,Associate's,NO,,,,,,4768.0,45.07,14.14,23.03,7.55,13605.0,4818.0,7818.0,
1991,2018_19,Fortis Institute-Wayne,Wayne,NJ,Certificate,NO,,,,,,539.0,16.51,15.03,57.7,3.15,,,,
1992,2018_19,Bergen Community College,Paramus,NJ,Associate's,NO,,,,,,12358.0,31.98,6.38,29.97,8.0,14541.0,4500.0,8526.0,
1993,2018_19,Berkeley College-Woodland Park,Woodland Park,NJ,Bachelor's,NO,,,,,,3298.0,11.19,18.13,41.45,1.39,33313.0,25900.0,25900.0,0.38
