"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","Florida Memorial University",36,1049,27460,"2019_20"
"Normal","Florida Southern College",68,2666,51143,"2019_20"
"Normal","Florida State University",83,32881,22026,"2019_20"
"Normal","University of Florida",88,34523,21151,"2019_20"
"Normal","Full Sail University",43,19957,35148,"2019_20"
"Normal","Hobe Sound Bible College",53,165,15748,"2019_20"
"Normal","AI Miami International University of Art and Design",36,994,28627,"2019_20"
"Normal","Jacksonville University",52,2873,53794,"2019_20"
"Normal","University of Miami",83,11094,67249,"2019_20"
"Normal","University of North Florida",67,14405,19627,"2019_20"
"Normal","Nova Southeastern University",58,5618,48294,"2019_20"
"Normal","Palm Beach Atlantic University",57,2376,48254,"2019_20"
"Normal","Ringling College of Art and Design",67,1653,67325,"2019_20"
"Normal","Rollins College",74,2598,66157,"2019_20"
"Normal","Saint Leo University",49,7695,38182,"2019_20"
"Normal","St. John Vianney College Seminary",69,46,37200,"2019_20"
"Normal","University of South Florida",75,31765,21282,"2019_20"
"Normal","St. Thomas University",43,1373,43839,"2019_20"
"Normal","Stetson University",65,3135,61050,"2019_20"
"Normal","Southeastern University",45,5593,37388,"2019_20"
"Normal","Talmudic College of Florida",75,31,26650,"2019_20"
"Normal","The University of Tampa",58,8685,44706,"2019_20"
"Normal","Trinity Baptist College",33,309,22274,"2019_20"
"Normal","Trinity College of Florida",9,211,25276,"2019_20"
"Normal","Warner University",46,865,33230,"2019_20"
"Normal","Webber International University",38,664,41122,"2019_20"
"Normal","The University of West Florida",46,9199,16649,"2019_20"
"Normal","Agnes Scott College",73,974,54064,"2019_20"
"Normal","The Art Institute of Atlanta",23,911,30695,"2019_20"
"Normal","Point University",28,1074,29952,"2019_20"
"Normal","Clark Atlanta University",44,3311,38154,"2019_20"
"Normal","Berry College",69,1918,51464,"2019_20"
"Normal","Beulah Heights University",15,237,15092,"2019_20"
"Normal","Brenau University",46,1669,42587,"2019_20"
"Normal","Brewton-Parker College",20,491,31425,"2019_20"
"Normal","Clayton  State University",30,5453,17676,"2019_20"
"Normal","Columbus State University",38,6188,19213,"2019_20"
"Normal","Covenant College",65,904,47200,"2019_20"
"Normal","Dalton State College",25,4553,12512,"2019_20"
"Normal","South University-Savannah",10,293,27322,"2019_20"
"Normal","Emmanuel College",41,826,30649,"2019_20"
"Normal","Emory University",90,7023,69502,"2019_20"
"Normal","Fort Valley State University",35,2242,21082,"2019_20"
"Single","Georgia Institute of Technology-Main Campus",90,15174,28454,"2019_20"
"Normal","Georgia Southwestern State University",38,2139,18450,"2019_20"
"Normal","Georgia College & State University",64,5764,28467,"2019_20"
"Normal","Georgia Southern University",50,21665,22171,"2019_20"
"Normal","Georgia State University",55,27256,23636,"2019_20"
"Normal","University of Georgia",87,29726,26530,"2019_20"
"Normal","LaGrange College",41,865,44088,"2019_20"
"Normal","Life University",28,874,38038,"2019_20"
